Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Document ChEMBL ID,Source Description,Document Journal,Document Year,Comment,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
CHEMBL2092729,CN1C(=O)[C@@H]2C3c4ccccc4C([C@@H]2C1=O)N3N=O,Activity,,,,CHEMBL1768512,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertants after 44 hrs by Ames test,T,BAO_0000218,organism-based format,CHEMBL1764971,Scientific Literature,Bioorg Med Chem,2011.0,Non-toxic,,,44 hrs,,Salmonella Typhimurium TA98,True
CHEMBL1766317,COCC12CCC(C(C(=O)OC)C1)N2N=O,Activity,,,,CHEMBL1768512,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertants after 44 hrs by Ames test,T,BAO_0000218,organism-based format,CHEMBL1764971,Scientific Literature,Bioorg Med Chem,2011.0,Non-toxic,,,44 hrs,,Salmonella Typhimurium TA98,True
CHEMBL1766318,COC(=O)C1CC2(COCc3ccccc3)CCC1N2N=O,Activity,,,,CHEMBL1768512,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertants after 44 hrs by Ames test,T,BAO_0000218,organism-based format,CHEMBL1764971,Scientific Literature,Bioorg Med Chem,2011.0,Non-toxic,,,44 hrs,,Salmonella Typhimurium TA98,True
CHEMBL1213031,Cc1cc(/C=C/c2cccc(C(=O)Oc3ccc(F)cc3)c2)cc(C)c1O,Activity,,,,CHEMBL1216914,Stabilization of recombinant TTR assessed as inhibition of urea-induced TTR tetramer dissociation over 144 hrs by far-UV CD spectroscopy,B,BAO_0000357,single protein format,CHEMBL1212806,Scientific Literature,Nat Chem Biol,2010.0,Dose-dependent effect,,,,,,
CHEMBL501712,CCOC1C(C(=O)[C@H]2[C@@H](/C(C)=C/C(C)CC)C(C)=C[C@@]3(C)C[C@@H](C)CC[C@H]23)C(=O)NC1(O)Cc1ccc(O)cc1,Activity,,,,CHEMBL976958,Antifungal activity against Aspergillus fumigatus Fresenius 167 assessed as diameter of inhibition zone at 1 ug/disk after 48 to 72 hrs by paper disk assay,F,BAO_0000218,organism-based format,CHEMBL1142625,Scientific Literature,J Nat Prod,2000.0,Not Active,,,,,,
CHEMBL524534,CCC(C)/C=C(\C)[C@H]1C(C)=C[C@@]2(C)C[C@@H](C)CC[C@@H]2[C@H]1C(=O)C1=CC(O)(Cc2ccc(O)cc2)NC1=O,Activity,,,,CHEMBL977823,Antifungal activity against Cryptococcus neoformans (Sanfelice) Vuillemin ATCC 90112 assessed as diameter of inhibition zone at 20 ug/disk after 48 to 72 hrs by paper disk assay,F,BAO_0000218,organism-based format,CHEMBL1142625,Scientific Literature,J Nat Prod,2000.0,Not Active,20 ug/disk,,after 48 to 72 hrs,,Cryptococcus neoformans (Sanfelice) Vuillemin ATCC 90112,False
CHEMBL501712,CCOC1C(C(=O)[C@H]2[C@@H](/C(C)=C/C(C)CC)C(C)=C[C@@]3(C)C[C@@H](C)CC[C@H]23)C(=O)NC1(O)Cc1ccc(O)cc1,Activity,,,,CHEMBL977820,Antifungal activity against Candida albicans 7N assessed as diameter of inhibition zone at 1 ug/disk after 48 to 72 hrs by paper disk assay,F,BAO_0000218,organism-based format,CHEMBL1142625,Scientific Literature,J Nat Prod,2000.0,Not Active,,,,,,
CHEMBL524534,CCC(C)/C=C(\C)[C@H]1C(C)=C[C@@]2(C)C[C@@H](C)CC[C@@H]2[C@H]1C(=O)C1=CC(O)(Cc2ccc(O)cc2)NC1=O,Activity,,,,CHEMBL977821,Antifungal activity against Candida albicans 7N assessed as diameter of inhibition zone upto 100 ug/disk after 48 to 72 hrs by paper disk assay,F,BAO_0000218,organism-based format,CHEMBL1142625,Scientific Literature,J Nat Prod,2000.0,Not Active,,,,,,
CHEMBL501712,CCOC1C(C(=O)[C@H]2[C@@H](/C(C)=C/C(C)CC)C(C)=C[C@@]3(C)C[C@@H](C)CC[C@H]23)C(=O)NC1(O)Cc1ccc(O)cc1,Activity,,,,CHEMBL976959,Antifungal activity against Aspergillus fumigatus Fresenius 167 assessed as diameter of inhibition zone upto 100 ug/disk after 48 to 72 hrs by paper disk assay,F,BAO_0000218,organism-based format,CHEMBL1142625,Scientific Literature,J Nat Prod,2000.0,Not Active,upto 100 ug/disk,,48 to 72 hrs,,Aspergillus fumigatus Fresenius 167,False
CHEMBL141,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,Activity,,,,CHEMBL952479,Antiviral activity against HBV in human HepW10 cells assessed as inhibition of viral pre genomic RNA replication,F,BAO_0000218,organism-based format,CHEMBL1156464,Scientific Literature,Proc Natl Acad Sci U S A,2007.0,Not Active,,,,,,
