index,original sentence,Enzyme Source,Incubation Time,Temperature Range,pH Level,Substrate Concentration,Inhibitor Concentration,Detection Method,Protein Expression System,CYP sources,Cytochrome_P450_enzymes
364,Inhibitory concentration against CYP1A2 using recombinant CYP450 under Gentest-based protocol,CYP1A2,,,,,,,recombinant CYP450 under Gentest-based protocol,CYP1A2,True
365,Inhibition of human recombinant CYP2C9 using dibenzylfluorescein after 45 mins by fluorescence spectrophotometric analysis,CYP2C9,after 45 mins,,,dibenzylfluorescein,,fluorescence spectrophotometric analysis,recombinant human,human,True
366,Inhibition of CYP2C19 (unknown origin) by luciferase reporter assay in presence of NADPH regeneration system,CYP2C19,,,,,in presence of NADPH regeneration system,luciferase reporter assay,unknown origin,unknown origin,True
367,"Inhibition of mouse CYP27B1 using 1,25(OH)2D3 substrate in presence of bovine adrenodoxin, adrenodoxin reductase and NADPH incubated at 37 degC for 25 mins by HPLC method",mouse CYP27B1,incubated at 37 degC for 25 mins,37 degC,,"1,25(OH)2D3","in presence of bovine adrenodoxin, adrenodoxin reductase and NADPH",HPLC,expressed in mouse,mouse,True
368,Inhibition of CYP3A4 in human liver microsomes assessed as 6beta-hydroxylation of testosterone,CYP3A4,,,,testosterone,,,human liver microsomes,human,True
369,Inhibition of CYP3A4 (unknown origin) using DBF as substrate by fluorescence assay,CYP3A4,,,,DBF,,fluorescence assay,unknown origin,unknown origin,True
370,Inhibition of human recombinant CYP1A2 using 7-ethoxyresorufin as substrate after 30 mins in presence of NADPH by EROD assay,CYP1A2,after 30 mins,,,7-ethoxyresorufin,in presence of NADPH,EROD assay,recombinant human,human,True
371,Inhibition of human CYP11B1 expressed in V79 MZh cells using [14C]-deoxycorticosterone substrate incubated for 6 hrs by HPTLC method,CYP11B1,incubated for 6 hrs,,,[14C]-deoxycorticosterone,,HPTLC method,expressed in V79 MZh cells,human,True
372,Inhibition of human recombinant CYP3A4 incubated for 5 mins by fluorescence assay,CYP3A4,incubated for 5 mins,,,,,fluorescence assay,recombinant human,human recombinant,True
373,Inhibition of human recombinant CYP1B1 using 7-ethoxyresorufin as substrate after 30 mins in presence of NADPH by EROD assay,CYP1B1,after 30 mins,,,7-ethoxyresorufin,in presence of NADPH,EROD assay,recombinant human,human recombinant,True
374,Inhibition of human recombinant CYP2C9 incubated for 15 mins prior to substrate addition measured after 30 mins by spectrophotometry,CYP2C9,"incubated for 15 mins, measured after 30 mins",,,,,spectrophotometry,recombinant human,human recombinant,True
375,Inhibition of CYP3A4 in human liver microsome,CYP3A4,,,,,,,human liver microsome,human liver,True
376,Inhibition of human CYP3A4 in human liver microsomes assessed as formation of 6beta-hydroxy-testosterone using testosterone as substrate by high throughput mass spectrometry preincubated for 30 mins in presence of NADPH,CYP3A4,"preincubated for 30 mins, after 30 secs",,,testosterone,in presence of NADPH,high throughput mass spectrometry,human liver microsomes,human liver,True
377,Inhibition of human CYP17 expressed in Escherichia coli co-expressed with NADPH-P450 reductase,CYP17,,,,,,,expressed in Escherichia coli co-expressed with NADPH-P450 reductase,human recombinant,True
378,"Inhibition of CYP3A4 in human liver microsomes assessed as reduction in enzyme-mediated testosterone 6-hydroxylation in presence of NADPH-generating system, G6P and G6P dehydrogenase",CYP3A4,,,,testosterone,"in presence of NADPH-generating system, G6P and G6P dehydrogenase",,human liver microsomes,human liver,True
379,Inhibition of CYP3A4 in human liver microsomes in presence of NADPH,CYP3A4,,,,,in presence of NADPH,,human liver microsomes,human liver,True
380,Inhibition of human recombinant CYP2D6 coexpressed in Escherichia coli,CYP2D6,,,,,,,coexpressed in Escherichia coli,recombinant human,True
381,Inhibition of human membrane bound C-terminal His4-tagged CYP21A2 delta19H mutant assessed as reduction in progesterone hydroxylation measured after 10 mins in presence of NADPH/NADPH-cytochrome p450 reductase by GC/MS method,CYP21A2,measured after 10 mins,,,progesterone,in presence of NADPH/NADPH-cytochrome p450 reductase,GC/MS method,human mutant,human mutant,True
382,"Inhibition of human CYP11B1 expressed in hamster V79MZh cells using [1,2-3H]-11-deoxycorticosterone as substrate after 6 hrs by HPTLC analysis",CYP11B1,after 6 hrs,,,"[1,2-3H]-11-deoxycorticosterone",,HPTLC analysis,expressed in hamster V79MZh cells,human,True
383,Inhibition of human CYP1A2 after 10 mins,CYP1A2,after 10 mins,,,,,,after 10 mins,human,True
