index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Free intrinsic clearance in human microsomes,free intrinsic clearance,none,human microsomes,none,none,human,none,human liver microsomes,none,True
1,Intrinsic clearance in mouse microsome by LC-MS/MS analysis in presence of NADPH,in presence of NADPH,none,mouse microsome,none,LC-MS/MS,mouse,none,mouse microsomes,none,True
2,Plasma clearance of compound was determined in rat,none,none,rat plasma,none,none,rat,none,rat plasma,none,True
3,Unbound intrinsic clearance in mouse liver microsomes at 1 uM measured up to 4 hrs by LC-MS analysis,1 uM,up to 4 hrs,unbound,none,LC-MS,mouse,iv,mouse liver microsomes,unbound,True
4,Intrinsic clearance in mouse liver microsomes at 1 uM measured up to 4 hrs by LC-MS analysis,1 uM,up to 4 hrs,mouse liver microsomes,none,LC-MS,mouse,iv,mouse liver microsomes,none,True
0,Intrinsic clearance in human liver derived from clearance in liver microsomes in presence of NADPH regenerating system by LC-MS/MS analysis,derived from liver microsomes,none,human liver,none,LC-MS/MS,human,none,human liver microsomes,none,True
1,Intrinsic clearance in CD1 mouse liver microsomes at 0.5 uM up to 30 mins by UPLC-MS/MS analysis,0.5 uM,up to 30 mins,mouse liver microsomes,none,UPLC-MS/MS,CD-1 mouse,iv,mouse liver microsomes,none,True
2,Intrinsic clearance in mouse liver microsomes at 2.5 uL preincubated for 5 mins followed by NADPH addition and measured by LC-MS/MS analysis,2.5 uL,after 5 mins,mouse liver microsomes,none,LC-MS/MS,mouse,none,rat liver microsomes,none,True
3,In vivo clearance of compound after intravenous administration in rats at concentration of 3 mg/kg was determined,3 mg/kg,none,rats,none,none,rat,iv,human liver,none,True
4,"Clearance in Wistar rat at 2 mg/kg, iv by LC-MS/MS analysis",2 mg/kg,none,Wistar rat,none,LC-MS/MS,Wistar rat,po,Sprague-Dawley rat liver microsomes,none,True
0,Intrinsic clearance in human liver microsomes at 1 ug/ml measured up to 60 mins in presence of NADPH by LC-MS/MS analysis,1 ug/ml,up to 60 mins,human liver microsomes,none,LC-MS/MS,human,none,human liver microsomes,none,True
1,Intrinsic clearance in rat liver microsomes at 1 ug/ml measured up to 60 mins in presence of NADPH by LC-MS/MS analysis,1 ug/ml,up to 60 mins,rat liver microsomes,none,LC-MS/MS,rat,none,rat liver microsomes,none,True
2,Intrinsic clearance in human liver microsomes at 5 uM preincubated for 5 mins followed by NADPH addition measured after 45 mins by UPLC-MS/MS analysis,5 uM,after 45 mins,human liver microsomes,none,UPLC-MS/MS,human,none,human liver microsomes,none,True
3,Intrinsic clearance in human liver microsomes in presence of NADPH regenerating system by LC/MS/MS analysis,in presence of NADPH regenerating system,none,human liver microsomes,none,LC/MS/MS,human,none,human liver microsomes,none,True
4,Metabolic stability in human liver microsomes assessed as intrinsic clearance in presence of NADPH incubated up to 60 mins by UPLC-MS/MS analysis,presence of NADPH,up to 60 mins,human liver microsomes,none,UPLC-MS/MS,human,none,human liver microsomes,none,True
0,Intrinsic clearance in human liver measured from intrinsic clearance in human liver microsomes in presence of NADPH regenerating system by LC/MS/MS analysis,derived from liver microsomes,none,human liver,none,LC/MS/MS,human,none,human liver,none,True
1,Clearance was measured in rat,none,none,rat plasma,none,none,rat,none,rat plasma,none,True
2,Intrinsic clearance in mouse liver microsomes at 1 uM measured up to 30 mins by LC-MS/MS analysis,1 uM,up to 30 mins,mouse liver microsomes,none,LC-MS/MS,mouse,iv,mouse liver microsomes,none,True
3,"Clearance in Sprague-Dawley rat at 1 mg/kg, iv by LC-MS analysis",1 mg/kg,none,Sprague-Dawley rat plasma,none,LC-MS,Sprague-Dawley rat,iv,rat plasma,none,True
4,"Hepatic clearance in rat at 0.5 mg/kg, iv",0.5 mg/kg,none,rat,none,none,rat,iv,rat liver microsomes,none,True
