index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Clearance in human after iv administration,none,none,none,none,none,none,human,iv,none,none,FALSE
1,Intrinsic clearance in human liver microsomes,none,none,none,liver,none,none,human,none,liver microsomes,none,TRUE
2,Intrinsic clearance in mouse liver microsomes,none,none,none,liver,none,none,mouse,none,liver microsomes,none,TRUE
3,Metabolic stability in human liver microsomes assessed as intrinsic clearance,none,none,none,liver,none,none,human,none,liver microsomes,none,TRUE
4,Intrinsic clearance in rat liver microsomes,none,none,none,liver,none,none,rat,none,liver microsomes,none,TRUE
0,Clearance in human liver microsomes,none,none,none,liver,none,none,human,none,liver microsomes,none,TRUE
1,Intrinsic clearance in human microsomes,none,none,none,none,none,none,human,none,microsomes,none,TRUE
2,DNDI: in vitro intrinsic clearance in mouse liver microsomes at a concentration of 1uM,1uM,none,none,liver,none,none,mouse,none,liver microsomes,none,TRUE
3,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance,none,none,none,liver,none,none,mouse,none,liver microsomes,none,TRUE
4,DNDI: Metabolism,none,none,none,none,none,none,none,none,none,none,FALSE
0,Clearance in rat liver microsomes,none,none,none,liver,none,none,rat,none,liver microsomes,none,TRUE
1,"Clearance in rat at 1 mg/kg, iv",1 mg/kg,none,none,none,none,none,rat,iv,none,none,FALSE
2,Clearance in rat after iv administration,none,none,none,none,none,none,rat,iv,none,none,FALSE
3,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance at 0.5 uM incubated for 30 mins by LC-MS/MS analysis,0.5 uM,30 mins,none,liver,none,LC-MS/MS,mouse,none,liver microsomes,none,TRUE
4,Clearance in mouse liver microsomes,none,none,none,liver,none,none,mouse,none,liver microsomes,none,TRUE
0,Plasma clearance in rat,none,none,none,none,none,none,rat,none,none,none,FALSE
1,Metabolic stability in human liver microsomes assessed as intrinsic clearance at 0.5 uM incubated for 30 mins by LC-MS/MS analysis,0.5 uM,30 mins,none,liver,none,LC-MS/MS,human,none,liver microsomes,none,TRUE
2,Intrinsic clearance in rat microsomes,none,none,none,none,none,none,rat,none,microsomes,none,TRUE
3,Metabolic stability in rat liver microsomes assessed as intrinsic clearance,none,none,none,liver,none,none,rat,none,liver microsomes,none,TRUE
4,Intrinsic clearance in CD1 mouse liver microsomes at 5 uM incubated up to 30 mins in presence of NADPH by UPLC-UV analysis,5 uM,up to 30 mins,NADPH,liver,none,UPLC-UV,CD1 mouse,none,liver microsomes,none,TRUE
0,Microsomal stability in human liver microsomes assessed as intrinsic clearance,none,none,none,liver,none,none,human,none,liver microsomes,none,TRUE
1,Intrinsic clearance in human liver microsomes at 1 to 2.5 uM in presence of NADPH,1 to 2.5 uM,none,NADPH,liver,none,none,human,none,liver microsomes,none,TRUE
2,Clearance in iv dosed mouse,none,none,none,none,none,none,mouse,iv,none,none,FALSE
3,Clearance in rat,none,none,none,none,none,none,rat,none,none,none,FALSE
4,Clearance in human liver microsomes at 1 uM incubated for 60 mins followed by NADPH generating system addition and measured by LC-MS/MS analysis,1 uM,60 mins,NADPH generating system,liver,none,LC-MS/MS,human,none,liver microsomes,none,TRUE
0,"Clearance in Sprague-Dawley rat at 1 mg/kg, iv by LC-MS/MS analysis",1 mg/kg,none,none,none,none,LC-MS/MS,Sprague-Dawley rat,iv,none,none,FALSE
1,"Clearance in Sprague-Dawley rat at 1 mg/kg, iv",1 mg/kg,none,none,none,none,none,Sprague-Dawley rat,iv,none,none,FALSE
2,Intrinsic clearance in human liver microsome,none,none,none,liver,none,none,human,none,liver microsomes,none,TRUE
3,Clearance in human hepatocytes,none,none,none,hepatocytes,none,none,human,none,none,none,FALSE
4,"Clearance in rat at 2 mg/kg, iv",2 mg/kg,none,none,none,none,none,rat,iv,none,none,FALSE
0,Intrinsic clearance in mouse liver microsomes at 1 uM measured up to 30 mins in presence of NADPH by UPLC-MS/MS analysis,1 uM,up to 30 mins,NADPH,liver,none,UPLC-MS/MS,mouse,none,liver microsomes,none,TRUE
1,Intrinsic clearance in human liver microsomes at 1 uM measured up to 30 mins in presence of NADPH by UPLC-MS/MS analysis,1 uM,up to 30 mins,NADPH,liver,none,UPLC-MS/MS,human,none,liver microsomes,none,TRUE
2,Metabolic stability in human microsomes assessed as intrinsic clearance,none,none,none,none,none,none,human,none,microsomes,none,TRUE
3,Clearance in rat hepatocytes,none,none,none,hepatocytes,none,none,rat,none,none,none,FALSE
4,Intrinsic clearance in human hepatocytes,none,none,none,hepatocytes,none,none,human,none,none,none,FALSE
0,Metabolic stability in mouse liver microsomes assessed as clearance,none,none,none,liver,none,none,mouse,none,liver microsomes,none,TRUE
1,Unbound clearance in rat,none,none,none,none,none,none,rat,none,none,none,FALSE
2,Intrinsic clearance in mouse microsomes,none,none,none,none,none,none,mouse,none,microsomes,none,TRUE
3,"Clearance in rat at 0.5 mg/kg, iv",0.5 mg/kg,none,none,none,none,none,rat,iv,none,none,FALSE
4,Intrinsic clearance in mouse microsomes preincubated for 5 mins followed by addition of 1.5 mM of NADPH measured after 5 to 30 mins by LC-MS/MS analysis,none,5 to 30 mins,1.5 mM NADPH,none,none,LC-MS/MS,mouse,none,microsomes,none,TRUE
