Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Document ChEMBL ID,Source Description,Document Journal,Document Year,Species/Origin of Plasma or Serum,Concentration of Tested Compound,Duration of Incubation,Analytical Detection Method,Equilibrium Dialysis for Protein Binding Assessment,Plasma_Protein_Binding
CHEMBL1223528,Cc1cc2n[nH]c(=O)n2c2cc(-c3cn[nH]c3)ccc12,PPB,'=',1.3,%,CHEMBL1228392,Protein binding in plasma,A,BAO_0000366,cell-free format,CHEMBL1221270,Scientific Literature,Bioorg Med Chem Lett,2010.0,,,,,,True
CHEMBL374975,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,PPB,'=',97.0,%,CHEMBL1661509,Protein binding in serum,A,BAO_0000366,cell-free format,CHEMBL1649135,Scientific Literature,Antimicrob Agents Chemother,2009.0,,,,,,True
CHEMBL2235849,CC(C)Cc1ccc(C(C)C(=O)OCc2ccccc2)cc1,PPB,'=',37.0,%,CHEMBL3048171,Protein binding in plasma at 20 ug/ml,A,BAO_0000366,cell-free format,CHEMBL3046468,Scientific Literature,Med Chem Res,2012.0,,20 ug/ml,,,,True
CHEMBL2235855,COC(=O)C(Cc1ccccc1)NC(=O)C(C)c1ccc(CC(C)C)cc1,PPB,'=',47.0,%,CHEMBL3048171,Protein binding in plasma at 20 ug/ml,A,BAO_0000366,cell-free format,CHEMBL3046468,Scientific Literature,Med Chem Res,2012.0,,20 ug/ml,,,,True
CHEMBL378093,Nc1noc2ccc(-n3nc(C(F)(F)F)c4c3C(=O)N(c3ccc(-c5ccccc5CN5CC[C@@H](O)C5)cc3)CC4)cc12,PPB,'=',97.0,%,CHEMBL900675,Protein binding in human serum by equilibrium dialysis,A,BAO_0000366,cell-free format,CHEMBL1137566,Scientific Literature,J Med Chem,2007.0,Human Serum,,,Equilibrium Dialysis,Equilibrium Dialysis,True
CHEMBL216769,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,PPB,'=',94.0,%,CHEMBL856407,protein binding,A,BAO_0000019,assay format,CHEMBL1147984,Scientific Literature,J Med Chem,2007.0,,,,,,True
CHEMBL61577,COc1ccc(-c2ccc(S(=O)(=O)NC(C(=O)O)C3CCCC(N(Cc4ccccc4)C(C)=O)C3)cc2)cc1,PPB,'=',99.4,%,CHEMBL768724,Percentage binding to plasma protein.,A,BAO_0000366,cell-free format,CHEMBL1133883,Scientific Literature,Bioorg Med Chem Lett,2001.0,,,,,,False
CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,PPB,'=',25.0,%,CHEMBL1661509,Protein binding in serum,A,BAO_0000366,cell-free format,CHEMBL1649135,Scientific Literature,Antimicrob Agents Chemother,2009.0,,,,,,True
CHEMBL3104375,FC(F)(F)c1ccc(N(c2cccnc2)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,PPB,'=',99.8,%,CHEMBL3137528,DNDI: Protein binding in human liver microsomes,A,BAO_0000251,microsome format,CHEMBL3137440,Drugs for Neglected Diseases Initiative (DNDi),,,Human Liver Microsomes,,,,,False
CHEMBL3236707,CN(c1ccc(Cl)cc1)S(=O)(=O)c1cccc(C(=O)Nc2ccc(Cl)nn2)c1,PPB,'=',99.8,%,CHEMBL3240403,Protein binding in plasma (unknown origin) at 5 uM after 4 hrs,A,BAO_0000366,cell-free format,CHEMBL3232865,Scientific Literature,Eur J Med Chem,2014.0,,5 uM,4 hrs,,,True
CHEMBL4460028,CC1(C)CCN1Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,PPB,'=',79.0,%,CHEMBL4415878,Protein binding in CD-1 mouse plasma at 2 uM after 4 hrs by LC-MS/MS-based equilibrium dialysis method,A,BAO_0000366,cell-free format,CHEMBL4414586,Scientific Literature,J Med Chem,2019.0,CD-1 Mouse Plasma,2 uM,4 hrs,LC-MS/MS,Equilibrium Dialysis,True
CHEMBL4203293,COc1cc(NC(C(=O)c2c[nH]c3ccccc23)c2ccccc2)cc(OCCO)c1,PPB,'=',99.0,%,CHEMBL4200986,Protein binding in human plasma,A,BAO_0000366,cell-free format,CHEMBL4196174,Scientific Literature,J Med Chem,2018.0,Human,,,,,True
CHEMBL4205782,CS(=O)(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,PPB,'=',97.6,%,CHEMBL4195609,Protein binding in mouse plasma after 6 hrs by LC-MS/MS based equilibrium dialysis method,A,BAO_0000366,cell-free format,CHEMBL4190400,Scientific Literature,J Med Chem,2018.0,Mouse Plasma,,6 hrs,LC-MS/MS,Equilibrium Dialysis,True
CHEMBL597754,CNC(=O)c1nn(C)c2c1CCc1cnc(NC3CCN(C(=O)C4CCN(S(C)(=O)=O)CC4)CC3)nc1-2,PPB,'=',69.0,%,CHEMBL1072244,Protein binding in plasma,A,BAO_0000366,cell-free format,CHEMBL1157561,Scientific Literature,J Med Chem,2010.0,,,,,,True
CHEMBL51391,O=C(O)C[C@H](NC(=O)Cn1c(C2CC2)cnc(NCc2ccc3c(n2)NCCC3)c1=O)c1ccc2c(c1)OCO2,PPB,'=',97.5,%,CHEMBL619354,Protein binding in human plasma,A,BAO_0000366,cell-free format,CHEMBL1136398,Scientific Literature,Bioorg Med Chem Lett,2003.0,Human,,,,,True
