index,original_sentence,pH Level,Solvent/System Composition,Time Period,Measurement Technique,Temperature Range,water_solubility
0,Aqueous solubility of the compound,,aqueous,,,,True
1,"ASTRAZENECA: Solubility in pH7.4 buffer using solid starting material using the method described in J. Assoc. Lab. Autom. 2011, 16, 276-284. Experimental range 0.10 to 1500 uM",7.4,pH7.4 buffer,,"method described in J. Assoc. Lab. Autom. 2011, 16, 276-284",,True
2,Solubility of the compound,,,,,,True
3,Aqueous solubility of the compound at pH 7.4,7.4,aqueous,,,,True
4,Kinetic solubility of the compound,,,,kinetic solubility,,True
0,Solubility in water,,water,,,,True
1,Aqueous solubility at pH 7.4,7.4,aqueous,,,,True
2,Solubility at pH 7.4,7.4,,,,,True
3,SUPPLEMENTARY: Lyophilisation Solubility Assay (LYSA),,,,Lyophilisation Solubility Assay (LYSA),,
4,Aqueous solubility of compound,,aqueous,,,,True
0,Kinetic aqueous solubility of the compound,,aqueous,,kinetic solubility,,True
1,Solubility of the compound at pH 7.4,7.4,,,,,True
2,Kinetic solubility of compound,,,,kinetic solubility,,True
3,Solubility of the compound in water,,water,,,,True
4,Solubility of the compound at pH 7,7,,,,,True
0,Aqueous solubility,,aqueous,,,,True
1,Kinetic solubility of the compound at pH 7.4,7.4,,,kinetic solubility,,True
2,Solubility of the compound at pH 6.8,6.8,,,,,True
3,Aqueous solubility of compound at pH 7.4,7.4,aqueous,,,,True
4,Solubility of compound in PBS pH 7.4 incubated for 2 hrs by spectrophotometry,7.4,PBS,2 hrs,spectrophotometry,,True
0,Solubility (buffer pH 7.4),7.4,buffer,,,,True
1,Thermodynamic aqueous solubility of the compound,,aqueous,,thermodynamic solubility,,True
2,GSK_TB: GSK in-house kinetic solubility assay. DMSO stock solution diluted to 100 ml with pH 7.4 phosphate buffered saline.,7.4,DMSO stock solution diluted with pH 7.4 phosphate buffered saline,,GSK in-house kinetic solubility assay,,True
3,Aqueous solubility of the compound at pH 7,7,aqueous,,,,True
4,Thermodynamic solubility of the compound at pH 7.4,7.4,,,thermodynamic solubility,,True
0,Solubility of the compound at pH 2,2,,,,,True
1,Aqueous solubility in phosphate buffered saline by multi-screen solubility assay,,phosphate buffered saline,,multi-screen solubility assay,,True
2,Solubility in sodium phosphate buffer at pH 7.4,7.4,sodium phosphate buffer,,,,True
3,Aqueous solubility of the compound at pH 6.8,6.8,aqueous,,,,True
4,Solubility of compound in water,,water,,,,True
0,Solubility of compound at pH 7.4,7.4,,,,,True
1,Solubility in 100 mM glycylglycine buffer at pH 4.0 incubated for 18 hrs by UPLC analysis,4.0,100 mM glycylglycine buffer,18 hrs,UPLC analysis,,True
2,Solubility in 100 mM glycylglycine buffer at pH 3.0 incubated for 18 hrs by UPLC analysis,3.0,100 mM glycylglycine buffer,18 hrs,UPLC analysis,,True
3,Solubility in 100 mM bistrispropane buffer at pH 6.0 incubated for 18 hrs by UPLC analysis,6.0,100 mM bistrispropane buffer,18 hrs,UPLC analysis,,True
4,Solubility in 100 mM bistrispropane buffer at pH 6.5 incubated for 18 hrs by UPLC analysis,6.5,100 mM bistrispropane buffer,18 hrs,UPLC analysis,,True
0,Solubility in 100 mM bistrispropane buffer at pH 7.0 incubated for 18 hrs by UPLC analysis,7.0,100 mM bistrispropane buffer,18 hrs,UPLC analysis,,True
1,Solubility in 100 mM bistrispropane buffer at pH 8.0 incubated for 18 hrs by UPLC analysis,8.0,100 mM bistrispropane buffer,18 hrs,UPLC analysis,,True
2,Solubility in 100 mM glycylglycine buffer at pH 5.0 incubated for 18 hrs by UPLC analysis,5.0,100 mM glycylglycine buffer,18 hrs,UPLC analysis,,True
3,Solubility in 100 mM bistrispropane buffer at pH 7.5 incubated for 18 hrs by UPLC analysis,7.5,100 mM bistrispropane buffer,18 hrs,UPLC analysis,,True
4,Solubility of compound,,,,,,True
