Smiles_unify,Smiles,value,source,property,cell_type,s9
[N-]=[N+]=C1C=NC(=O)NC1=O,[N-]=[N+]=C1C=NC(=O)NC1=O,1,Benchmark,ames,,-1
Cc1cccc([N+](=O)[O-])c1C,Cc1cccc([N+](=O)[O-])c1C,1,Benchmark,ames,,-1
OC1C=Cc2c(ccc3c(Br)c4ccccc4cc23)C1O,OC1C=Cc2c(ccc3c(Br)c4ccccc4cc23)C1O,1,Benchmark,ames,,-1
Cc1cc2c(nc(N)n2C)c2ncc(-c3ccccc3)nc12,Cc1cc2c(nc(N)n2C)c2ncc(-c3ccccc3)nc12,1,Benchmark,ames,,-1
Oc1cc2c3ccccc3ccc2c2ccccc12,Oc1cc2c3ccccc3ccc2c2ccccc12,1,Benchmark,ames,,-1
CC(=O)N(O)c1ccc(Oc2ccccc2)cc1,CC(=O)N(O)c1ccc(Oc2ccccc2)cc1,1,Benchmark,ames,,-1
CCNC(=O)Nc1ncc([N+](=O)[O-])s1,CCNC(=O)Nc1ncc([N+](=O)[O-])s1,1,Benchmark,ames,,-1
O=C1C=C[C@]2(O)c3c(ccc(O)c31)-c1ccc(O)c3c1[C@H]2[C@H]1O[C@H]1C3=O,O=C1C=C[C@]2(O)c3c(ccc(O)c31)-c1ccc(O)c3c1[C@H]2[C@H]1O[C@H]1C3=O,1,Benchmark,ames,,-1
Fc1cnc2ccc3cccnc3c2c1,Fc1cnc2ccc3cccnc3c2c1,1,Benchmark,ames,,-1
O=C(O)C[C@H](C(=O)O)[C@@H](CC(=O)O)C(=O)O,O=C(O)C[C@H](C(=O)O)[C@@H](CC(=O)O)C(=O)O,1,Benchmark,ames,,-1
CCCCOc1ccc(N=O)cc1,CCCCOc1ccc(N=O)cc1,1,Benchmark,ames,,-1
CC1CC2c3cccc4[nH]cc(c34)CC2N(C)C1,CC1CC2c3cccc4[nH]cc(c34)CC2N(C)C1,1,Benchmark,ames,,-1
CCCC(=O)/N=c1\sn(C(=O)CCC)c2ccc([N+](=O)[O-])cc12,CCCC(=O)/N=c1\sn(C(=O)CCC)c2ccc([N+](=O)[O-])cc12,1,Benchmark,ames,,-1
C[C@@H]1C=Cc2c1ccc1c2ccc2ccccc21,C[C@@H]1C=Cc2c1ccc1c2ccc2ccccc21,1,Benchmark,ames,,-1
Cc1ccc(S(=O)(=O)NN)cc1,Cc1ccc(S(=O)(=O)NN)cc1,1,Benchmark,ames,,-1
O=[N+]([O-])c1cccc2c1ccc1cccc([N+](=O)[O-])c12,O=[N+]([O-])c1cccc2c1ccc1cccc([N+](=O)[O-])c12,1,Benchmark,ames,,-1
NC(CS/C(Cl)=C(\Cl)C(Cl)(Cl)Cl)C(=O)O,NC(CS/C(Cl)=C(\Cl)C(Cl)(Cl)Cl)C(=O)O,1,Benchmark,ames,,-1
O=C(ON(OCc1ccccc1)C(=O)c1ccccc1)c1ccc([N+](=O)[O-])cc1,O=C(ON(OCc1ccccc1)C(=O)c1ccccc1)c1ccc([N+](=O)[O-])cc1,1,Benchmark,ames,,-1
COc1cccc(N)c1,COc1cccc(N)c1,1,Benchmark,ames,,-1
Nc1ccc2c3c(cccc13)-c1ccccc1-2,Nc1ccc2c3c(cccc13)-c1ccccc1-2,1,Benchmark,ames,,-1
N#Cc1cc([N+](=O)[O-])ccc1N,N#Cc1cc([N+](=O)[O-])ccc1N,1,Benchmark,ames,,-1
COC1=CC(=O)c2c3nc4ccncc4c-3c[nH]c2C1=O,COC1=CC(=O)c2c3nc4ccncc4c-3c[nH]c2C1=O,1,Benchmark,ames,,-1
O=C1OCC(CCl)=C1Br,O=C1OCC(CCl)=C1Br,1,Benchmark,ames,,-1
O=C1C=C(S(=O)(=O)O)c2ccccc2C1=O,O=C1C=C(S(=O)(=O)O)c2ccccc2C1=O,1,Benchmark,ames,,-1
CC[N+]([O-])(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,CC[N+]([O-])(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,1,Benchmark,ames,,-1
COC(=O)[C@]12O[C@@]1(C)[C@](O)(C(C)C)NC2=O,COC(=O)[C@]12O[C@@]1(C)[C@](O)(C(C)C)NC2=O,1,Benchmark,ames,,-1
Cc1cccc(CN(C)N=O)c1,Cc1cccc(CN(C)N=O)c1,1,Benchmark,ames,,-1
CCN(CC)c1ccc([N+](=O)[O-])cc1,CCN(CC)c1ccc([N+](=O)[O-])cc1,1,Benchmark,ames,,-1
N#C/C(=C\C=C\c1ccccc1)c1ccc(F)cc1,N#C/C(=C\C=C\c1ccccc1)c1ccc(F)cc1,1,Benchmark,ames,,-1
Nc1ncnc2c1nc(-c1ccc([N+](=O)[O-])cc1)n2-c1ccc([N+](=O)[O-])cc1,Nc1ncnc2c1nc(-c1ccc([N+](=O)[O-])cc1)n2-c1ccc([N+](=O)[O-])cc1,1,Benchmark,ames,,-1
Cc1cccc(C(=O)Cl)c1,Cc1cccc(C(=O)Cl)c1,1,Benchmark,ames,,-1
O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)[C@@H](O)[C@H](O)C=C4,O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)[C@@H](O)[C@H](O)C=C4,1,Benchmark,ames,,-1
c1ccc2nccnc2c1,c1ccc2nccnc2c1,1,Benchmark,ames,,-1
CC(C)CCCC(C)C1CCC2C3C(OO)C=C4CC(O)CCC4(C)C3CCC12C,CC(C)CCCC(C)C1CCC2C3C(OO)C=C4CC(O)CCC4(C)C3CCC12C,1,Benchmark,ames,,-1
Clc1ccc(C(Cl)(Cl)Cl)cc1,Clc1ccc(C(Cl)(Cl)Cl)cc1,1,Benchmark,ames,,-1
OC1c2ccc3ccccc3c2C2OC2C1O,OC1c2ccc3ccccc3c2C2OC2C1O,1,Benchmark,ames,,-1
Cn1c(N)nc2c3cnccc3ccc21,Cn1c(N)nc2c3cnccc3ccc21,1,Benchmark,ames,,-1
Nc1ccc(Sc2ccccc2)cc1,Nc1ccc(Sc2ccccc2)cc1,1,Benchmark,ames,,-1
O=C(Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1)C(F)(F)F,O=C(Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1)C(F)(F)F,1,Benchmark,ames,,-1
C1=C[C@H]2O[C@H]2c2cc3ccc4cccc5ccc(c21)c3c45,C1=C[C@H]2O[C@H]2c2cc3ccc4cccc5ccc(c21)c3c45,1,Benchmark,ames,,-1
O=[N+]([O-])c1ccc2c3c(c(O)ccc13)-c1ccccc1-2,O=[N+]([O-])c1ccc2c3c(c(O)ccc13)-c1ccccc1-2,1,Benchmark,ames,,-1
