Smiles_unify,Smiles,value_uM,value_uM_log,ref,source,CYP_type,property
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,0.02,-1.699,CHEMBL1146077,ChEMBL,CYP2D6,cyp_IC50
CNc1noc2c(-c3ccc4c(N5CCOC[C@@H]5C)nncc4c3)c(Cl)ccc12,CNc1noc2c(-c3ccc4c(N5CCOC[C@@H]5C)nncc4c3)c(Cl)ccc12,6.0,0.7782,CHEMBL1140162,ChEMBL,CYP3A4,cyp_IC50
Cc1cc2c(F)c(Oc3ncnn4cc(OCCC5CCN(C)CC5)c(C)c34)ccc2[nH]1,Cc1cc2c(F)c(Oc3ncnn4cc(OCCC5CCN(C)CC5)c(C)c34)ccc2[nH]1,0.7,-0.1549,CHEMBL1146078,ChEMBL,CYP3A4,cyp_IC50
Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](N)CC(C)C)c(C)c34)ccc2[nH]1,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](N)CC(C)C)c(C)c34)ccc2[nH]1,24.0,1.3802,CHEMBL1141628,ChEMBL,CYP2D6,cyp_IC50
O=C(Nc1nccs1)N1CCC(Cc2c[nH]cn2)CC1,O=C(Nc1nccs1)N1CCC(Cc2c[nH]cn2)CC1,2.0,0.301,CHEMBL1138111,ChEMBL,CYP2D6,cyp_IC50
O=C(CCOc1ccc(C(=O)N2CCNCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,O=C(CCOc1ccc(C(=O)N2CCNCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,30.0,1.4771,CHEMBL1138111,ChEMBL,CYP2D6,cyp_IC50
O=C(CCc1ccc(CN2CCCCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,O=C(CCc1ccc(CN2CCCCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,3.0,0.4771,CHEMBL1138111,ChEMBL,CYP2D6,cyp_IC50
O=C(CCOc1ccc(CN2CCCCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,O=C(CCOc1ccc(CN2CCCCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,1.0,0.0,CHEMBL1138111,ChEMBL,CYP2D6,cyp_IC50
c1cnc(-c2ccc(OCCCN3CCC(Cc4c[nH]cn4)CC3)cc2)nc1,c1cnc(-c2ccc(OCCCN3CCC(Cc4c[nH]cn4)CC3)cc2)nc1,6.0,0.7782,CHEMBL1138111,ChEMBL,CYP2D6,cyp_IC50
CC(=O)c1cccc(NC(=O)N[C@@H]2CCCC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)c1,CC(=O)c1cccc(NC(=O)N[C@@H]2CCCC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)c1,0.06,-1.2218,CHEMBL1142350,ChEMBL,CYP2D6,cyp_IC50
O=[N+]([O-])c1cnc(NCc2ccccc2Cl)nc1NCC1CCNCC1,O=[N+]([O-])c1cnc(NCc2ccccc2Cl)nc1NCC1CCNCC1,17.6,1.2455,CHEMBL1138386,ChEMBL,CYP2C9,cyp_IC50
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,0.86,-0.0655,CHEMBL1149625,ChEMBL,CYP3A4,cyp_IC50
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(CC)(c1cc(F)cc(F)c1)O2,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(CC)(c1cc(F)cc(F)c1)O2,0.46,-0.3372,CHEMBL1149625,ChEMBL,CYP3A4,cyp_IC50
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNS(C)(=O)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNS(C)(=O)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,15.1,1.179,CHEMBL1149625,ChEMBL,CYP2D6,cyp_IC50
