Smiles_unify,Smiles,value,source,ph,property
C[C@@H]1CN([C@H](c2ccc(CCC(=O)O)cc2)c2cccc(O)c2)[C@@H](C)CN1Cc1ccccc1,C[C@@H]1CN([C@H](c2ccc(CCC(=O)O)cc2)c2cccc(O)c2)[C@@H](C)CN1Cc1ccccc1,2.1,CHEMBL861858,7.4,logd
O=C(O)COc1ccc(C(F)(F)F)cc1-c1ccc(Cl)cc1,O=C(O)COc1ccc(C(F)(F)F)cc1-c1ccc(Cl)cc1,0.9,CHEMBL1780748,7.4,logd
CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c(Cl)c1,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c(Cl)c1,0.5,CHEMBL1780748,7.4,logd
CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c(C)c1,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c(C)c1,0.5,CHEMBL1780748,7.4,logd
CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2O[C@@H](C)C(=O)O)c(C)c1,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2O[C@@H](C)C(=O)O)c(C)c1,0.4,CHEMBL1780748,7.4,logd
C[C@@H](Oc1ccc(C(F)(F)F)cc1-c1cccc(C#N)c1)C(=O)O,C[C@@H](Oc1ccc(C(F)(F)F)cc1-c1cccc(C#N)c1)C(=O)O,0.2,CHEMBL1780748,7.4,logd
COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,1.7,CHEMBL1780530,7.4,logd
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,1.4,CHEMBL1780530,7.4,logd
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,-0.6,CHEMBL1780530,7.4,logd
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,-1.0,CHEMBL1780530,7.4,logd
CC(C)(C)C(=O)N1CCC(CN2CCC(NC(=O)Nc3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)CC1,CC(C)(C)C(=O)N1CCC(CN2CCC(NC(=O)Nc3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)CC1,4.2,CHEMBL928750,7.4,logd
O=C([O-])c1cccc(Cc2cc(Cl)ccc2OCc2ccc(Cl)cc2Cl)n1,O=C([O-])c1cccc(Cc2cc(Cl)ccc2OCc2ccc(Cl)cc2Cl)n1.[Na+],2.6,CHEMBL1009644,7.4,logd
CCN1C(=O)Cc2ccccc21,CCN1C(=O)Cc2ccccc21,1.69,CHEMBL948522,7.4,logd
c1ccc2ocnc2c1,c1ccc2ocnc2c1,1.56,CHEMBL948522,7.4,logd
c1ccc(Cn2ccnc2)cc1,c1ccc(Cn2ccnc2)cc1,1.55,CHEMBL948522,7.4,logd
Clc1ccccn1,Clc1ccccn1,1.23,CHEMBL948522,7.4,logd
N#Cc1ccccc1,N#Cc1ccccc1,0.91,CHEMBL949564,7.4,logd
CNCCC=C1c2ccccc2CCc2ccccc21,CNCCC=C1c2ccccc2CCc2ccccc21,2.02,CHEMBL635966,7.4,logd
O=C(c1ccncn1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,O=C(c1ccncn1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,2.4,CHEMBL948148,7.4,logd
O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,2.7,CHEMBL948148,7.4,logd
O=C(c1ccc(Cl)cc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,O=C(c1ccc(Cl)cc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,3.5,CHEMBL948148,7.4,logd
CCc1cccc(C)c1CNc1cc(C(=O)N(C)C)nc2c(C)c(C)[nH]c12,CCc1cccc(C)c1CNc1cc(C(=O)N(C)C)nc2c(C)c(C)[nH]c12,4.6,CHEMBL929781,7.4,logd
Cc1ncc(-c2ccnc(Nc3ccc(N4CCN(C(=O)[C@H](C)O)CC4)cc3)n2)n1C(C)C,Cc1ncc(-c2ccnc(Nc3ccc(N4CCN(C(=O)[C@H](C)O)CC4)cc3)n2)n1C(C)C,2.2,CHEMBL984729,7.4,logd
