Smiles_unify,Smiles,value,unit,species,conc,Presence of NADPH/NADP,source
C[C@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12)C(=O)N(C)C,C[C@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12)C(=O)N(C)C,1.8864907251724818,log10(mL.min-1.g-1),human,1 uM,none,CHEMBL928910
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N(C)C,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N(C)C,1.146128035678238,log10(mL.min-1.g-1),rat,1 uM,none,CHEMBL928911
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cscn4)c3)c12)C(=O)N(C)C,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cscn4)c3)c12)C(=O)N(C)C,1.255272505103306,log10(mL.min-1.g-1),rat,1 uM,none,CHEMBL928911
CCCCNC(=O)c1ccc2c(c1)N=C(c1ccc(Cl)cc1)c1ccccc1S2,CCCCNC(=O)c1ccc2c(c1)N=C(c1ccc(Cl)cc1)c1ccccc1S2,1.9493900066449128,log10(mL.min-1.g-1),rat,none,none,CHEMBL1002992
Cc1cc(SCc2cc(=O)[nH][nH]2)c(C)cc1Cl,Cc1cc(SCc2cc(=O)[nH][nH]2)c(C)cc1Cl,2.383815365980431,log10(mL.min-1.g-1),mouse,in presence of NADPH,mouse microsome,CHEMBL1645623
O=C1CCN(Cc2ccc3c(c2)OCO3)C1,O=C1CCN(Cc2ccc3c(c2)OCO3)C1,5.763427993562937,log10(mL.min-1.g-1),mouse,2 uM,none,CHEMBL1118304
CC(C)N1CCC(Oc2ccc3c(c2)cc(C(=O)N2CCC(F)(F)CC2)n3S(=O)(=O)c2ccc(F)cc2)CC1,CC(C)N1CCC(Oc2ccc3c(c2)cc(C(=O)N2CCC(F)(F)CC2)n3S(=O)(=O)c2ccc(F)cc2)CC1,4.301029995663981,log10(mL.min-1.g-1),rat,2 uM,none,CHEMBL1008303
Cc1ccc2c(OCCN3CCC(Cc4cccc(N5CCCCC5)c4)CC3)cccc2n1,Cc1ccc2c(OCCN3CCC(Cc4cccc(N5CCCCC5)c4)CC3)cccc2n1,0.7923916894982539,log10(mL.min-1.g-1),rat,none,none,CHEMBL1035846
Cc1cccc(C)c1/C(=N/O)NC1CCCCC1,Cc1cccc(C)c1/C(=N/O)NC1CCCCC1,1.8808135922807914,log10(mL.min-1.g-1),mouse,1uM,none,CHEMBL1862765
O/N=C(\NC1CCCC1)c1ccccc1-c1ccccc1,O/N=C(\NC1CCCC1)c1ccccc1-c1ccccc1,2.385606273598312,log10(mL.min-1.g-1),mouse,10uM,none,CHEMBL1862767
O=C([C@@H]1COC(c2nc3cc(C(F)(F)F)cc([N+](=O)[O-])c3s2)=N1)N1CCCC1,O=C([C@@H]1COC(c2nc3cc(C(F)(F)F)cc([N+](=O)[O-])c3s2)=N1)N1CCCC1,1.8842287696326039,log10(mL.min-1.g-1),mouse,none,none,CHEMBL3742837
N#Cc1ccc(COc2cc3n(n2)CCCC3)nc1,N#Cc1ccc(COc2cc3n(n2)CCCC3)nc1,1.6232492903979006,log10(mL.min-1.g-1),rat,none,none,CHEMBL2410237
Cc1cnc(-c2ccc([C@@H]3[C@@H](c4ccccc4)[C@@]3(C)C(=O)NO)cc2)nc1,Cc1cnc(-c2ccc([C@@H]3[C@@H](c4ccccc4)[C@@]3(C)C(=O)NO)cc2)nc1,2.44870631990508,log10(mL.min-1.g-1),mouse,none,none,CHEMBL3796127
O=C(NO)[C@]1(F)[C@H](c2ccccc2)[C@H]1c1ccc(-c2ncc(F)cn2)cc1,O=C(NO)[C@]1(F)[C@H](c2ccccc2)[C@H]1c1ccc(-c2ncc(F)cn2)cc1,2.48572142648158,log10(mL.min-1.g-1),mouse,none,none,CHEMBL3796127
