Smiles_unify,Smiles,value_nM,value_nM_log,ref,source,Temperature,pH,property
O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCCNCC1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCCNCC1,13415232.745921295,7.1276,CHEMBL1138134,ChEMBL,other,7.4,solubility
CCc1ccc(S(=O)(=O)c2ccccc2)cc1S(=O)(=O)NCCCN(C)C,CCc1ccc(S(=O)(=O)c2ccccc2)cc1S(=O)(=O)NCCCN(C)C,63394.008007187615,4.802,CHEMBL1151763,ChEMBL,other,7.4,solubility
O=C(Nc1cccc(-c2ccc(OC(F)(F)F)cc2)c1)N[C@@H]1COc2nc([N+](=O)[O-])cn2C1,O=C(Nc1cccc(-c2ccc(OC(F)(F)F)cc2)c1)N[C@@H]1COc2nc([N+](=O)[O-])cn2C1,6477.937663894119,3.8114,CHEMBL1944507,ChEMBL,other,7.0,solubility
Cn1ccnc1Sc1ccc(Nc2c(C#N)cnc3cc(/C=C/CN4CCCC4)ccc23)cc1Cl,Cn1ccnc1Sc1ccc(Nc2c(C#N)cnc3cc(/C=C/CN4CCCC4)ccc23)cc1Cl,39987.60436408549,4.6019,CHEMBL1142456,ChEMBL,other,7.4,solubility
Cn1ccnc1Sc1ccc(Nc2c(C#N)cnc3cc(/C=C/CCO)ccc23)cc1Cl,Cn1ccnc1Sc1ccc(Nc2c(C#N)cnc3cc(/C=C/CCO)ccc23)cc1Cl,2168.6906998341283,3.3362,CHEMBL1142456,ChEMBL,other,7.4,solubility
Cn1ccnc1Sc1ccc(Nc2c(C#N)cnc3cc(/C=C/CO)ccc23)cc1Cl,Cn1ccnc1Sc1ccc(Nc2c(C#N)cnc3cc(/C=C/CO)ccc23)cc1Cl,2236.6758258109608,3.3496,CHEMBL1142456,ChEMBL,other,7.4,solubility
O=c1nc2n(CCC3CC3)nc(-c3ccc4c(c3)OC(F)(F)O4)nc-2c(=O)n1CC1CC1,O=c1nc2n(CCC3CC3)nc(-c3ccc4c(c3)OC(F)(F)O4)nc-2c(=O)n1CC1CC1,16100.0,4.2068,CHEMBL1157007,ChEMBL,other,7.4,solubility
Cn1c(=O)nc2n(CCC3CC3)nc(-c3nc4ccccc4s3)nc-2c1=O,Cn1c(=O)nc2n(CCC3CC3)nc(-c3nc4ccccc4s3)nc-2c1=O,34000.0,4.5315,CHEMBL1157007,ChEMBL,other,7.4,solubility
COc1ccc2c(c1)c(/C=C1\Oc3cc(O)cc(O)c3C1=O)c(C)n2CCCN1CCOCC1,COc1ccc2c(c1)c(/C=C1\Oc3cc(O)cc(O)c3C1=O)c(C)n2CCCN1CCOCC1,2154.268286818683,3.3333,CHEMBL1156153,ChEMBL,other,7.4,solubility
O=C1/C(=C/c2c(-c3ccc(F)cc3)[nH]c3ccccc23)Oc2cc(O)cc(O)c21,O=C1/C(=C/c2c(-c3ccc(F)cc3)[nH]c3ccccc23)Oc2cc(O)cc(O)c21,2583.3739632207553,3.4122,CHEMBL1156153,ChEMBL,other,7.4,solubility
O=C1/C(=C/c2c(-c3ccc4ccccc4c3)[nH]c3ccccc23)Oc2cc(O)cc(O)c21,O=C1/C(=C/c2c(-c3ccc4ccccc4c3)[nH]c3ccccc23)Oc2cc(O)cc(O)c21,2385.975666280571,3.3777,CHEMBL1156153,ChEMBL,other,7.4,solubility
