Smiles_unify,value,property,scaffold_train_test_label,random_train_test_label
Br/C=C/Br,1,ames,train,train
BrC(Br)Br,1,ames,train,train
BrC(Br)C(Br)(Br)Br,0,ames,train,train
BrC(Br)C(Br)Br,0,ames,train,train
BrC/C=C\CBr,1,ames,train,train
BrCBr,1,ames,train,train
BrCC(Br)(Br)Br,1,ames,train,train
BrCC(Br)C1CCC(Br)C(Br)C1,0,ames,train,train
BrCC(Br)CBr,1,ames,train,train
BrCC(Br)c1ccccc1,1,ames,train,train
BrCC1CO1,1,ames,train,train
BrCCBr,1,ames,train,train
BrCCC(Br)Br,1,ames,train,train
BrCCCBr,0,ames,train,train
BrCCCCBr,1,ames,train,train
BrCCCCCBr,1,ames,train,train
BrC[C@@H](Br)[C@@H]1CC[C@@H](Br)[C@@H](Br)C1,0,ames,train,test
BrC[C@H]1CO1,1,ames,train,train
BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32,1,ames,train,train
BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43,1,ames,test,train
BrCc1c2ccccc2cc2c1ccc1ccccc12,1,ames,train,train
BrCc1c2ccccc2cc2ccc3ccccc3c12,1,ames,train,train
BrCc1c2ccccc2cc2ccccc12,1,ames,train,train
BrCc1cc2c3c(cccc3c1)-c1ccccc1-2,1,ames,test,train
BrCc1ccc(Br)cc1,0,ames,train,train
BrCc1ccc(CBr)cc1,0,ames,train,train
BrCc1ccc2c(c1)-c1cccc3cccc-2c13,1,ames,test,train
BrCc1ccc2c3c(cccc13)-c1ccccc1-2,1,ames,test,test
BrCc1ccc2cccc3c2c1-c1ccccc1-3,1,ames,test,train
BrCc1cccc(CBr)c1,0,ames,train,train
BrCc1cccc2c1-c1cccc3cccc-2c13,1,ames,test,train
BrCc1ccccc1,1,ames,train,train
BrCc1ccccc1CBr,0,ames,train,train
Br[C@@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,0,ames,test,train
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,0,ames,train,train
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,0,ames,train,test
Brc1c2ccccc2cc2c1ccc1ccccc12,1,ames,train,train
Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,0,ames,test,train
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,0,ames,train,test
Brc1ccc(-c2ccccc2)cc1,0,ames,test,test
Brc1ccc(/C=N/c2nc3ccccc3s2)cc1,1,ames,train,train
