index,Smiles_unify,value,property,scaffold_train_test_label,random_train_test_label
0,BrC(Br)Br,1.0,bbb,train,train
1,Brc1c(NC2=NCCN2)ccc2nccnc12,1.0,bbb,train,train
2,Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,1.0,bbb,train,test
3,Brc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,1.0,bbb,test,train
4,Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,1.0,bbb,test,train
5,Brc1cccc(Br)c1NC1=NCCN1,1.0,bbb,train,train
6,C,1.0,bbb,train,test
7,C#CC(C)(O)CC,1.0,bbb,train,train
8,C#CC(O)(/C=C/Cl)CC,1.0,bbb,train,train
9,C#CC(O)(C=CCl)CC,1.0,bbb,train,train
10,C#CC(OC(N)=O)c1ccccc1,1.0,bbb,train,train
11,C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC,0.0,bbb,train,train
12,C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21,1.0,bbb,train,train
13,C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21C,1.0,bbb,train,train
14,C#CC1(O)CCC2C3CCC4=C/C(=N\O)CCC4C3CCC21CC,0.0,bbb,train,train
15,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C=CC21CC,0.0,bbb,test,train
16,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,0.0,bbb,train,train
17,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0.0,bbb,train,train
18,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,0.0,bbb,train,test
19,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,0.0,bbb,train,test
20,C#CC1(O)CCC2C3CCC4=Cc5c(cnn5-c5ccc(F)cc5)CC4(C)C3CCC21C,1.0,bbb,train,test
21,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,0.0,bbb,train,train
22,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,0.0,bbb,train,train
23,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,0.0,bbb,train,test
24,C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C,0.0,bbb,test,train
25,C#CC1(O)CC[C@H]2[C@@H]3[C@H](CCC21C)C1=C(CC(=O)CC1)C[C@@H]3C,1.0,bbb,train,train
26,C#CC1(O)CC[C@H]2[C@H]3CCC4=CC(=O)CC[C@H]4[C@H]3CCC21C,0.0,bbb,train,test
27,C#CC1(O)CC[C@H]2[C@H]3CCC4=Cc5c(cnn5-c5ccc(F)cc5)CC4(C)[C@H]3CCC21C,1.0,bbb,train,test
28,C#CC1(O)CC[C@H]2[C@H]3CCc4cc(O)ccc4[C@H]3CCC21C,0.0,bbb,train,train
29,C#CC1(O)CC[C@H]2[C@H]3CCc4cc(OC)ccc4[C@H]3CCC21C,0.0,bbb,train,train
30,C#CC1(OC(C)=O)CCC2C3CCC4=C/C(=N\O)CCC4C3CCC21CC,0.0,bbb,train,train
31,C#CC1(OC(C)=O)CCC2C3CCC4=CC(OC(C)=O)CCC4C3CCC21C,0.0,bbb,train,train
32,C#CC1(OC(N)=O)CCCCC1,1.0,bbb,train,train
33,C#CC1(OCC(O)CN2CCN(c3ccc(F)cc3)CC2)CCCCC1,1.0,bbb,train,train
34,C#CC1(OC[C@@H](O)CN2CCN(c3ccc(F)cc3)CC2)CCCCC1,1.0,bbb,train,train
35,C#CC1(OC[C@H](O)CN2CCN(c3ccc(F)cc3)CC2)CCCCC1,1.0,bbb,train,test
36,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0.0,bbb,train,test
37,C#CCC1(OC(N)=O)CCCCC1,1.0,bbb,train,train
38,C#CCN(C)C(C)Cc1ccccc1,1.0,bbb,train,test
39,C#CCN(C)CCCCCCCCOc1ccc2c(c1)OCCC2=O,1.0,bbb,train,train
40,C#CCN(C)CCCCCCOc1ccc(C(C)=O)cc1,1.0,bbb,train,train
41,C#CCN(C)CCCCCCOc1ccc(C=O)c(OC)c1,1.0,bbb,train,train
42,C#CCN(C)CCCCCCOc1ccc2c(c1)CCC2=O,1.0,bbb,train,test
43,C#CCN(C)CCCCCCOc1ccc2c(c1)CCCC2=O,1.0,bbb,train,train
44,C#CCN(C)CCCCCCOc1ccc2c(c1)OCC2=O,1.0,bbb,train,test
45,C#CCN(C)CCCCCCOc1ccc2c(c1)OCCC2=O,1.0,bbb,train,train
46,C#CCN(C)CCCCCOc1ccc(C(C)=O)cc1OC,1.0,bbb,train,train
47,C#CCN(C)CCCCCOc1ccc(C=O)c(OC)c1,1.0,bbb,train,test
48,C#CCN(C)CCCCCOc1ccc2c(c1)CCC2=O,1.0,bbb,train,train
49,C#CCN(C)CCCCCOc1ccc2c(c1)CCCC2=O,1.0,bbb,train,train
50,C#CCN(C)CCCCCOc1ccc2c(c1)OCCC2=O,1.0,bbb,train,train
51,C#CCN(C)CCCCCOc1cccc(OC)c1,1.0,bbb,train,train
52,C#CCN(C)CCCCOc1ccc(C(C)=O)cc1,1.0,bbb,train,train
53,C#CCN(C)CCCCOc1ccc(C(C)=O)cc1OC,1.0,bbb,train,train
54,C#CCN(C)CCCCOc1ccc(C=O)c(OC)c1,1.0,bbb,train,train
55,C#CCN(C)CCCCOc1ccc2c(c1)CCC2=O,1.0,bbb,train,train
56,C#CCN(C)CCCCOc1ccc2c(c1)CCCC2=O,1.0,bbb,train,train
57,C#CCN(C)CCCCOc1ccc2c(c1)OCCC2=O,1.0,bbb,train,train
58,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,1.0,bbb,train,train
59,C#CCN(C)CCCOc1ccc2c(c1)OCCC2=O,1.0,bbb,train,train
