index,Smiles_unify,value,property,scaffold_train_test_label,random_train_test_label
10,O=[N+]([O-])c1cnc(NCc2ccccc2Cl)nc1NCC1CCNCC1,17.6,cyp_2c9,train,train
15,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(CC)(c1cc(F)cc(F)c1)O2,4.9,cyp_2c9,train,train
18,O=C(CCc1noc2c1CCc1cc(O)ccc1-2)NC1=C(C(=O)O)CCCC1,11.0,cyp_2c9,train,test
20,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1F,52.0,cyp_2c9,test,train
21,C[C@@H](O[C@H]1CC[C@@H]2CN(C3=CC(=O)CC3)C[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,30.0,cyp_2c9,train,train
30,COC(=O)C1=C(Cn2ccnc2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl,1.0,cyp_2c9,train,train
33,O=C(Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1F)N1CCCC1,7.0,cyp_2c9,test,train
34,COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1,0.22,cyp_2c9,train,train
42,Cc1cccc(Cl)c1NC(=O)Nc1cc2ccccc2cc1C(=O)N[C@H](C(=O)O)C1CCCCC1,1.0,cyp_2c9,train,train
47,Cc1ccc(-c2cccc(-c3cc(C(C)(C)S(C)(=O)=O)cc4cccnc34)c2)c[n+]1[O-],26.0,cyp_2c9,train,test
48,CC(C)(c1cc(-c2cccc(-c3ccc(CS(C)(=O)=O)cc3)c2)c2ncccc2c1)S(C)(=O)=O,1.6,cyp_2c9,train,test
55,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)C)cn1,31.62278,cyp_2c9,test,train
56,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)N[C@@H](C)C(C)C)cn1,39.81072,cyp_2c9,test,train
57,NC(=O)[C@]12CC3CC(C1)[C@@H](OC(=O)N1CC[C@@H](Nc4ccc(C(F)(F)F)cn4)C1)C(C3)C2,4.1,cyp_2c9,train,train
61,O=C(CCc1nc(-c2ccc(O)cn2)no1)Nc1ccccc1C(=O)O,42.0,cyp_2c9,train,train
62,O=C(NCc1ccccc1OC(F)(F)F)N1CCC(Oc2ncccn2)CC1,10.2,cyp_2c9,test,train
65,CC(C)(Cc1nc(-c2ccc(O)cn2)no1)C(=O)NC1=C(C(=O)O)CCCC1,39.0,cyp_2c9,train,train
66,Cc1ncccc1Oc1ncc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,1.34896,cyp_2c9,train,train
69,Cc1c[nH]c2c(Nc3cccc(Cl)c3)ncc(C(=O)N3CCOCC3)c12,4.7,cyp_2c9,train,train
70,O=C1CCCN1Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1,5.0,cyp_2c9,train,train
90,COc1cc(/C=C/C(=O)/C=C/c2cc(OC)c(O)c(OC)c2)cc(OC)c1O,100.0,cyp_2c9,train,train
95,CC(C)c1cc(Nc2ccc(Cl)cc2Cl)ncc1C(=O)NCC1CCOCC1,40.0,cyp_2c9,train,train
96,O=S(=O)(Nc1ccc(C(F)(F)F)nc1)c1ccccc1C(F)(F)F,1.1,cyp_2c9,train,test
97,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,0.2,cyp_2c9,train,train
98,O=S(=O)(NC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12)C(F)(F)F,4.9,cyp_2c9,train,train
99,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,2.0,cyp_2c9,train,train
102,Clc1ccccc1CC(c1ccccc1)N1CCNCC1,23.0,cyp_2c9,train,test
105,CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccc(F)cc3)CC2)nc1C,5.9,cyp_2c9,train,train
107,COc1c(Nc2ccc(S(C)(=O)=O)nc2C)ncnc1OC1CCN(C(=O)OC(C)C)CC1,6.9,cyp_2c9,train,train
113,O=C(NCc1ccc(Cl)nc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,1.77,cyp_2c9,train,train
114,CC(C)(c1cc(-c2cccc(CC(CO)c3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1)S(C)(=O)=O,3.6,cyp_2c9,train,train
121,N#Cc1c[nH]c(C(=O)Nc2ccc(C3CCNCC3)cc2C2=CCCCC2)n1,4.1,cyp_2c9,train,train
124,CN1C[C@@H]2CCC[C@]2(c2ccc(Cl)c(Cl)c2)C1,9.83,cyp_2c9,train,train
125,CNC(=O)CCC1(c2ccccc2)CCCN(C(=O)Nc2ccc(Cl)cc2)C1,10.0,cyp_2c9,train,train
144,COc1ccc(C(C)=O)cc1CSc1nc2ccccc2n1CC(=O)O,24.0,cyp_2c9,test,train
153,Cc1cc(C(=O)O)ccc1NC(=O)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,19.0,cyp_2c9,train,train
157,Nc1n[nH]cc1-c1cc(C(F)(F)F)ccc1Oc1cc(F)c(S(=O)(=O)Nc2nncs2)cc1Cl,0.658,cyp_2c9,train,train
168,O=C(NCc1ccc([S+]([O-])c2cc(F)cc(F)c2)cn1)c1cc2ccncc2o1,1.0,cyp_2c9,train,train
176,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1ccc2nccn2c1,0.2,cyp_2c9,train,train
178,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,22.0,cyp_2c9,train,train
184,CC(C)OC(c1cccc(C(F)(F)F)c1)c1nc(-n2ccc(NC(=O)c3cscn3)cc2=O)c[nH]1,1.4,cyp_2c9,train,train
186,Cc1ccccc1-c1ccc2c(c1)[nH]c(=O)c1nc(-c3c(F)cccc3Cl)[nH]c12,17.0,cyp_2c9,test,train
189,CC(C)[C@@H]1c2nn(-c3ccc(CO)c(S(C)(=O)=O)c3)cc2CN1c1ncc(CO)c(C(F)(F)F)n1,0.493,cyp_2c9,train,test
190,COc1ncnc(N2Cc3cn(-c4cccc(S(C)(=O)=O)c4)nc3[C@H]2C(C)C)c1F,1.445,cyp_2c9,test,test
191,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5CCOCC5)cc4)n[nH]c3c1)C(=O)N2C,1.0,cyp_2c9,train,train
192,CC(O)(c1cccc(C(F)(F)F)c1)c1nc(-n2ccc(NC(=O)c3cscn3)cc2=O)c[nH]1,3.0,cyp_2c9,train,train
193,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc([C@H](C)N5CCOCC5)cc4)n[nH]c3c1)C(=O)N2C,0.44,cyp_2c9,train,train
194,CN(C[C@@H]1COCCO1)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1,1.2,cyp_2c9,train,train
196,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,0.3816,cyp_2c9,train,train
200,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,21.3,cyp_2c9,train,test
204,Fc1cc(OC(F)(F)C(F)F)cc([C@@](Cc2ccccc2)(Nc2nc(C(F)(F)F)cs2)c2ccc(Cl)cn2)c1,40.0,cyp_2c9,test,train
205,O=C(NC1CCCC1)N[C@@](Cc1ccccc1)(c1cc(F)cc(OC(F)(F)C(F)F)c1)c1ccc(Cl)cn1,4.4,cyp_2c9,train,train
208,COc1ccc(-n2c(C)nnc2SCc2nc(-c3ccc(OC)c(OC)c3)no2)cc1,45.0,cyp_2c9,train,train
211,COc1cc2c(Nc3ccccc3F)c(C(N)=O)cnc2cc1-c1c(C)noc1C,0.6,cyp_2c9,train,train
215,Cc1ccc(Sc2ccccc2N2CCNCC2)cc1,40.0,cyp_2c9,train,train
216,C[C@@H](Oc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c3cc(F)ccc3n(CCC3CC3)c1=O)N2)C(N)=O,1.7,cyp_2c9,train,train
217,O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCCC(CO)(CO)[C@@H]1COc1c(F)ccc(F)c12,22.25,cyp_2c9,train,train
225,C[C@@H](Nc1c(Nc2ccn[nH]2)c(=O)c1=O)c1ccccc1,12.0,cyp_2c9,test,train
227,Nc1c(-c2ccccc2)nn(-c2nc(C(=O)O)cs2)c1-c1ccccc1,5.62,cyp_2c9,train,train
237,O=C(O)c1c(O)c(-c2ccc(Cl)cc2)nc2c(-c3ccccc3)cccc12,8.2,cyp_2c9,train,train
239,CC(C)[C@@H]1c2nn(-c3cccc(S(C)(=O)=O)c3)cc2CN1c1ccnc(C(F)(F)F)n1,1.867,cyp_2c9,test,train
240,COc1cc(N2Cc3cn(-c4cccc(S(C)(=O)=O)c4)nc3[C@H]2C(C)C)nc(C)n1,6.616,cyp_2c9,test,train
241,O=C(Nc1ccc(F)cc1)N1N=C(c2ccncc2)CC1c1ccc(F)cc1,1.8,cyp_2c9,train,test
243,N#Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)CCN(Cc2cc[nH]n2)CC3)cc1,2.5,cyp_2c9,train,train
246,Cc1cccc(C)c1CNc1nc(-c2ccccc2)cc2c(C)c(C)[nH]c12,6.7,cyp_2c9,train,test
