index,Smiles_unify,value,property,scaffold_train_test_label,random_train_test_label
0,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,0.015333333333333332,cyp_2d6,train,train
3,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](N)CC(C)C)c(C)c34)ccc2[nH]1,24.0,cyp_2d6,train,train
4,O=C(Nc1nccs1)N1CCC(Cc2c[nH]cn2)CC1,2.0,cyp_2d6,train,test
5,O=C(CCOc1ccc(C(=O)N2CCNCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,30.0,cyp_2d6,test,train
6,O=C(CCc1ccc(CN2CCCCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,3.0,cyp_2d6,train,test
7,O=C(CCOc1ccc(CN2CCCCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,1.0,cyp_2d6,train,train
8,c1cnc(-c2ccc(OCCCN3CCC(Cc4c[nH]cn4)CC3)cc2)nc1,6.0,cyp_2d6,test,train
13,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNS(C)(=O)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,15.1,cyp_2d6,train,test
14,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,30.0,cyp_2d6,train,train
19,NCc1noc(-c2nn(Cc3ccc(C(N)=O)cc3)c3ccccc23)n1,1.3,cyp_2d6,train,train
22,CCC[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(-c2nnnn2C)c1,0.5,cyp_2d6,train,train
23,C[C@H](C[C@@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(-c2ncco2)cc(-c2ncco2)c1,0.5,cyp_2d6,train,train
24,CC(=O)c1cc(NC(=O)N[C@H](C)CCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(C(C)=O)c1,1.3,cyp_2d6,test,train
25,Cc1cc(NC(=O)N[C@H](C)CCN2CCC[C@@H](Cc3ccc(F)cc3)C2)cc(-c2nnnn2C)c1,0.2,cyp_2d6,train,test
26,C[C@H](CCN1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cccc(-c2nnnn2C)c1,0.4,cyp_2d6,train,train
27,c1ccc(-c2ccccc2CN(C2CCOCC2)[C@H]2CCNC2)cc1,0.1,cyp_2d6,train,train
32,C[C@@H](N[C@@H]1CCCc2c1[nH]c1ccc(Br)cc21)c1ccccc1,0.16,cyp_2d6,test,train
36,Cc1n[nH]c2cc(N(C)c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)ccc12,4.8,cyp_2d6,train,train
50,O=C(N[C@@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccc2cc(F)ccc2c1)c1ccccc1OC1CCCCC1,0.58,cyp_2d6,train,test
59,CC(C)CC1(C(=O)c2cc(F)c3[nH]ccc3c2)CCNC1,1.3,cyp_2d6,test,train
63,COc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1cnccn1,12.0,cyp_2d6,train,train
67,COc1ccc(C[C@H](C)CN2C[C@@H]3CCCC[C@@H]3[C@H](C(=O)N3CCN(c4ccc(F)c(F)c4)CC3)C2)cn1,6.5,cyp_2d6,train,train
72,CCCCC1(c2ccc3[nH]ccc3c2)CCNC1,3.4,cyp_2d6,train,test
73,CN(C)C(=O)c1cc2cc(C3(Cc4ccccc4)CCNC3)ccc2[nH]1,2.9,cyp_2d6,train,train
74,c1ccc(CC2(c3c[nH]c4ccccc34)CCNC2)cc1,1.8,cyp_2d6,train,train
81,Cc1ccc2c(c1)CC(CCN(C)C)=C2Cc1cnccn1,6.6,cyp_2d6,train,train
82,CN(C)CCC1=C(Cc2cccnn2)c2ccc(Cl)cc2C1,12.0,cyp_2d6,train,test
86,Cc1cnn(C2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1,5.4,cyp_2d6,train,train
87,CN(CC1CCOCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,11.0085,cyp_2d6,train,train
92,CC(C)(C)c1cc(/C=C2\CC/C(=C\c3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)C2=O)cc(C(C)(C)C)c1O,100.0,cyp_2d6,train,train
101,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,3.0,cyp_2d6,train,train
104,CC(C)(C)NCc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O,3.0,cyp_2d6,train,train
112,CN(CC(=O)N1CCCC(c2ccccc2)C1CN1CCCC1)c1ccc(Cl)c(Cl)c1,0.75,cyp_2d6,train,test
116,CC(C)Oc1ccc(S(=O)(=O)Cc2ccc3c(c2)CCNCC3)cn1,1.6,cyp_2d6,test,train
117,O=S(=O)(Cc1ccc2c(c1)CCNCC2)c1ccc(-c2ccc(F)cc2)cc1,0.2,cyp_2d6,train,train
119,c1ccc(CCNCCC2c3ccccc3Sc3ccccc32)cc1,0.26,cyp_2d6,train,test
123,CCN1C[C@H]2CCCC[C@@]2(c2ccc(Cl)c(Cl)c2)C1,0.25,cyp_2d6,train,train
126,CCN(C)CCC1=C(Cc2cnccn2)c2ccccc2C1,4.346,cyp_2d6,train,test
127,c1ccc2c(c1)CC(CCN1CCCC1)=C2Cc1cnccn1,3.385,cyp_2d6,train,train
130,C[C@@H](c1ccccn1)c1c(CCN2CCCC2)sc2ccccc12,2.7,cyp_2d6,train,test
131,Cc1cc(Nc2cc(C)c(C#N)c(NCCOc3ccccc3)n2)n[nH]1,7.2,cyp_2d6,train,test
133,COc1ccccc1CC(c1ccccc1)N1CCNCC1,20.0,cyp_2d6,train,train
134,Cc1cc(Nc2cc(C)c(C#N)c(NCCOc3ccccn3)n2)n[nH]1,29.0,cyp_2d6,train,train
137,N#Cc1c[nH]c2ccc(C3(Cc4ccccc4)CCNC3)cc12,0.8,cyp_2d6,train,train
139,O=C(O)c1ccc(NC(=O)[C@H](C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)c(F)c1,50.0,cyp_2d6,train,train
140,O=C(Nc1ccc(-c2nnn[nH]2)cc1F)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,31.0,cyp_2d6,train,test
145,N#Cc1ccc(Cl)cc1O[C@H](CCN)c1ccccc1,0.4,cyp_2d6,train,test
146,CC(C)N(CCO)Cc1csc(-c2cn(CC3CCOCC3)c3c(Cl)cccc23)n1,97.8,cyp_2d6,train,train
147,CCc1cccc2cc(CC(O)CNC(C)(C)C)oc12,4.8,cyp_2d6,train,train
148,O=C(C1CCN(c2ccncc2)CC1)N1CC[C@@H](CNS(=O)(=O)/C=C/c2ccc(-c3ccc(Cl)s3)s2)C1,7.97,cyp_2d6,train,train
149,CN(C(=O)CCC(=O)Nc1nccs1)[C@H](CN1CC[C@H](O)C1)c1ccccc1,3.4,cyp_2d6,train,train
150,CN(C(=O)CCC(=O)Nc1ccccc1)[C@H](CN1CC[C@H](O)C1)c1ccccc1,8.6,cyp_2d6,test,train
155,COc1ccccc1/C=C/C(=O)c1cccnc1,1.74,cyp_2d6,train,train
156,COc1ccc(/C=C/C(=O)c2cccnc2)c(OC)c1OC,8.8,cyp_2d6,train,train
164,C1CCN2C[C@H]3C[C@H](CN4CCCC[C@@H]34)[C@H]2C1,60.0,cyp_2d6,train,train
166,CN[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21,1.5,cyp_2d6,train,train
169,COc1cnc2ccc(=O)n(CCN3CCC(c4nc5cc(C#N)c(C)cc5[nH]4)CC3)c2c1,28.0,cyp_2d6,train,train
171,Cc1cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)cccc43)cccc2cn1,11.0,cyp_2d6,train,train
175,O=C(NC1CCCCC1)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,32.0,cyp_2d6,train,test
182,Cc1cc2ncc3c(n2n1)CN([C@H]1CO[C@H](c2cc(F)c(F)cc2F)[C@@H](N)C1)C3,59.0,cyp_2d6,train,train
