index,Smiles_unify,value,property,scaffold_train_test_label,random_train_test_label
1,CNc1noc2c(-c3ccc4c(N5CCOC[C@@H]5C)nncc4c3)c(Cl)ccc12,6.0,cyp_3a4,train,test
2,Cc1cc2c(F)c(Oc3ncnn4cc(OCCC5CCN(C)CC5)c(C)c34)ccc2[nH]1,0.7,cyp_3a4,train,train
11,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,0.86,cyp_3a4,test,test
12,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(CC)(c1cc(F)cc(F)c1)O2,0.46,cyp_3a4,test,train
16,CC(C)(C)OC(=O)N[C@H](Cc1cccc(F)c1C(F)(F)F)C(=O)NCc1nc2cccnc2n1C1(c2ccccc2)CC1,0.81,cyp_3a4,train,test
17,CC(C)(C)OC(=O)N[C@H](Cc1ccccc1C(F)(F)F)C(=O)NCc1nc2cccnc2n1CC1CC1,2.43,cyp_3a4,test,train
29,CS(=O)(=O)OCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,7.7,cyp_3a4,train,train
35,CS(=O)(=O)c1ccc(Cn2cc(-c3ccncc3)cn2)cc1,26.0,cyp_3a4,train,train
37,Cc1c2ccc(N(C)c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)cc2nn1Cc1ccccc1,74.0,cyp_3a4,test,train
38,COc1cc(OC)c(C(=O)C(C)=O)cc1OC,74.0,cyp_3a4,train,train
39,COc1cc(C[C@@H]2COC(=O)[C@H]2Cc2cc(OC)c(O)c(OC)c2)ccc1O,1.1,cyp_3a4,train,train
40,CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(C(F)(F)F)o1,3.0,cyp_3a4,train,train
41,CC[C@@H]1CCC[C@H](C2(CC(N)=O)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,11.5,cyp_3a4,train,train
43,CC[C@@H]1CCC[C@H](C2(CC(=O)N3CCC4(CCN4)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,5.6,cyp_3a4,train,test
