,index,Smiles_unify,value,property,scaffold_train_test_label,random_train_test_label
0,0,C[C@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12)C(=O)N(C)C,1.8864907251724816,human_mic_cl,test,train
1,14,Cc1ccc2c(OCCN3CCC(Cc4cccc(N5CCN(C)CC5)c4)CC3)cccc2n1,0.2041199826559248,human_mic_cl,train,train
2,16,Cc1cc(Nc2cc(C)c(C#N)c(N[C@@H](C)CCCC(C)(C)O)n2)n[nH]1,1.6989700043360187,human_mic_cl,test,test
3,25,C[C@@H]1CC[C@H](N)CN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,2.307496037913213,human_mic_cl,train,train
4,29,Cc1cc(C)c(S(=O)(=O)N[C@@H](C)CNc2cccc3c2cnn3-c2ccc(F)cc2)c(C)c1,1.8920946026904804,human_mic_cl,train,test
5,34,C[C@@H]1CN(c2nnc(C(F)(F)F)o2)CCN1c1ncc(OCc2ccncc2C#N)cn1,1.5314789170422551,human_mic_cl,test,test
6,35,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,0.2430380486862944,human_mic_cl,train,train
7,36,C[C@@H]1CCOc2cc(F)c(-c3cnn(CCN(C)C)c3)cc2C(=O)Nc2cccc(n2)-c2nncn2C1,1.6232492903979006,human_mic_cl,test,train
8,38,COc1cc2[nH]c(=O)c([C@H](C)Nc3ncc(C#N)c(OC)n3)cc2cc1Cl,3.857332496431269,human_mic_cl,train,train
9,40,CC1=C(c2ccc(F)cc2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21,1.0,human_mic_cl,train,train
10,41,CC1=C(c2ccc(F)cc2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2c(O)cccc21,0.9542425094393248,human_mic_cl,train,train
11,43,CSc1ncccc1C(=O)N[C@H](c1ccccc1)C12CCC(CC1)CN2C,1.8808135922807916,human_mic_cl,train,train
12,44,COc1cncc(Cl)c1C(=O)N[C@H](c1ccccc1)C12CCC(CC1)CN2C,1.6532125137753435,human_mic_cl,train,train
13,45,Cc1noc(C)c1-c1cc(O)cc(CN2CCC(F)(F)CC2)c1,1.7109631189952756,human_mic_cl,train,train
14,46,CNC1(c2ccccc2Cl)CCCCC1=O,2.133538908370217,human_mic_cl,train,test
15,47,CC(C)CN(CC(=O)Nc1cc(F)cc(F)c1)C(=O)c1ccc(-c2ccccn2)cc1,0.1139433523068367,human_mic_cl,train,train
16,48,CCC(COC)N(CC(=O)Nc1cc(F)cc(F)c1)C(=O)c1ccc(-c2ccccn2)cc1,0.9822712330395684,human_mic_cl,train,train
17,49,CCOC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCCCC3)c12,1.8444905081319125,human_mic_cl,train,train
18,54,NC1CCc2c(Br)ccc(-c3ccccc3)c2CC1=O,1.2787536009528289,human_mic_cl,train,train
19,56,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3F)C2)n1C,1.3010299956639813,human_mic_cl,train,train
20,57,Cc1ccc(-c2nnc(SCCCN3CC[C@]4(C[C@@H]4c4ccc(C(F)(F)F)cc4)C3)n2C)c(C)n1,2.4756711883244296,human_mic_cl,test,train
21,58,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1=CCC(=O)N=C1,1.4471580313422192,human_mic_cl,test,train
22,59,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1CC2CCC(C1)O2,1.6989700043360187,human_mic_cl,train,train
23,62,CNCc1cn(CC(=O)Nc2sc3c(c2C(N)=O)CCCC3)nc1C(C)(C)C,1.1760912590556811,human_mic_cl,train,train
24,63,CNCc1cn(CC(=O)Nc2sc3c(c2C(=O)NC)CCCC3)nc1C(F)(F)F,1.2041199826559248,human_mic_cl,train,test
25,67,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(-n2c(C)ccc2CN2CCN(C)CC2)cc1)c1ccccc1,1.91365493508662,human_mic_cl,train,train
26,68,Cc1cc(C)c(-c2cccnc2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,1.792391689498254,human_mic_cl,train,train
27,70,Cc1ccc(C(=O)Nc2cn3ncnc3c(CN3CCN(C(=O)C4CCCC4)[C@@H](C)C3)c2C)cn1,1.505149978319906,human_mic_cl,train,train
28,72,COc1cc2ccc(Br)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1cc2ccccc2o1,1.4771212547196624,human_mic_cl,train,train
29,74,CNS(=O)(=O)Nc1nnc2cc(OCC34CCC(F)(CC3)CC4)c(C3CC3)cn12,0.9084850188786496,human_mic_cl,train,train
30,76,CCN(O)c1ccc(Cl)c2nc3n(c12)CCCN3c1ccc(Cl)cc1Cl,1.462397997898956,human_mic_cl,train,test
31,86,Cc1cc(C)c(-c2nc3ccccc3[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,1.4771212547196624,human_mic_cl,train,train
32,87,Cc1cc(C)c(-c2cccc(N)n2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,1.944482672150169,human_mic_cl,train,train
33,90,O=C(NC1CCN(C(=O)C2CC2)CC1)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,0.568201724066995,human_mic_cl,train,train
34,102,O=C(c1ccc(-n2nnc3cccnc32)cc1)N(c1ncccc1Cl)[C@@H]1CCCNC1,0.9867717342662448,human_mic_cl,train,train
35,103,CN(C)c1cncc(-c2ccc(C(=O)N(c3ncccc3Cl)[C@@H]3CCCNC3)cc2)n1,1.260071387985075,human_mic_cl,train,train
36,107,COc1cccc(C(c2cc3cc(Br)ccc3nc2OC)C(O)(CCN(C)C)c2ccc(C)nc2)c1F,1.380211241711606,human_mic_cl,train,train
37,108,COc1nc2ccc(C#N)cc2cc1C(c1cccc(C)c1)C(O)(CCN(C)C)c1cccnc1OC,1.0413926851582251,human_mic_cl,train,train
38,109,COc1cc(C(O)(CCN(C)C)C(c2cc3cc(Br)ccc3nc2OC)c2ccnc(OC)c2OC)c(OC)nc1OC,0.6989700043360189,human_mic_cl,train,train
39,113,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,1.9411366731260975,human_mic_cl,train,train
40,114,O=C(OC(C(F)(F)F)C(F)(F)F)N1CCN(Cc2ccc(Cl)cc2N2CCCC2)CC1,1.5314789170422551,human_mic_cl,train,train
41,115,O=C(OC(C(F)(F)F)C(F)(F)F)N1CCN(Cc2cccc(Cl)c2N2CCOCC2)CC1,1.8808135922807916,human_mic_cl,test,test
42,119,CN1CCC(NC(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)CC1,0.414973347970818,human_mic_cl,test,test
43,120,Cc1cc(CN(C)C(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)on1,0.4313637641589873,human_mic_cl,train,train
44,121,COc1ccc(CNC(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)c(OC)c1,1.2068258760318498,human_mic_cl,train,train
45,122,N#Cc1cccc(CNC(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)c1,0.99563519459755,human_mic_cl,train,test
