index,Smiles_unify,value,property,scaffold_train_test_label,random_train_test_label
0,C[C@@H]1CN([C@H](c2ccc(CCC(=O)O)cc2)c2cccc(O)c2)[C@@H](C)CN1Cc1ccccc1,2.1,logd,train,train
1,O=C(O)COc1ccc(C(F)(F)F)cc1-c1ccc(Cl)cc1,0.9,logd,train,train
4,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2O[C@@H](C)C(=O)O)c(C)c1,0.4,logd,train,train
5,C[C@@H](Oc1ccc(C(F)(F)F)cc1-c1cccc(C#N)c1)C(=O)O,0.2,logd,train,train
6,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,1.75,logd,train,train
8,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,-0.6,logd,train,train
9,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,-1.01,logd,train,train
10,CC(C)(C)C(=O)N1CCC(CN2CCC(NC(=O)Nc3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)CC1,4.2,logd,train,train
11,O=C([O-])c1cccc(Cc2cc(Cl)ccc2OCc2ccc(Cl)cc2Cl)n1,2.6,logd,test,train
17,CNCCC=C1c2ccccc2CCc2ccccc21,2.0,logd,train,train
18,O=C(c1ccncn1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,2.4,logd,train,train
19,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,2.7,logd,test,test
20,O=C(c1ccc(Cl)cc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,3.5,logd,train,train
21,CCc1cccc(C)c1CNc1cc(C(=O)N(C)C)nc2c(C)c(C)[nH]c12,4.6,logd,train,test
22,Cc1ncc(-c2ccnc(Nc3ccc(N4CCN(C(=O)[C@H](C)O)CC4)cc3)n2)n1C(C)C,2.2,logd,train,train
23,C[n+]1ccn(CCCN(Cc2ccccc2)S(=O)(=O)C(F)(F)F)c1/C=N/O,0.06,logd,train,test
24,CC(=O)N1C2C=C(CN3CCC(Nc4ccc5cc(C(F)(F)F)ccc5n4)CC3)CC1CCC2,3.3,logd,train,train
25,CC(=O)N1C2C=C(CN3CCC(Nc4ccc5ccccc5n4)CC3)CC1CCC2,2.2,logd,train,train
26,CC(C(=O)Nc1n[nH]c2cc(Cl)c(-c3ccccc3)cc12)N1CCCCC1,3.53,logd,train,train
27,CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)ccc12,3.7,logd,train,train
28,CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)c(Br)cc12,4.4,logd,train,train
29,CNCCC(=O)Nc1cccc(-c2cc(-c3ccc(F)cc3O)nc(NC(=O)c3ccco3)c2C#N)c1,2.13,logd,train,train
