,index,Smiles_unify,value,property,scaffold_train_test_label,random_train_test_label
0,4,Cc1cc(SCc2cc(=O)[nH][nH]2)c(C)cc1Cl,2.383815365980431,mouse_mic_cl,train,test
1,5,O=C1CCN(Cc2ccc3c(c2)OCO3)C1,5.763427993562937,mouse_mic_cl,train,train
2,8,Cc1cccc(C)c1/C(=N/O)NC1CCCCC1,1.8808135922807916,mouse_mic_cl,test,test
3,9,O/N=C(\NC1CCCC1)c1ccccc1-c1ccccc1,2.385606273598312,mouse_mic_cl,test,train
4,10,O=C([C@@H]1COC(c2nc3cc(C(F)(F)F)cc([N+](=O)[O-])c3s2)=N1)N1CCCC1,1.884228769632604,mouse_mic_cl,train,train
5,12,Cc1cnc(-c2ccc([C@@H]3[C@@H](c4ccccc4)[C@@]3(C)C(=O)NO)cc2)nc1,2.44870631990508,mouse_mic_cl,train,test
6,13,O=C(NO)[C@]1(F)[C@H](c2ccccc2)[C@H]1c1ccc(-c2ncc(F)cn2)cc1,2.48572142648158,mouse_mic_cl,train,train
7,15,COCCc1sc(S(=O)(=O)NC(=O)Nc2cc(C(F)(F)F)cc(C)n2)cc1C,1.4913616938342726,mouse_mic_cl,test,test
8,21,CC1CCC(NC(=O)c2cc3cc(Cl)c(Cl)cc3[nH]2)CC1,1.865103974641128,mouse_mic_cl,train,train
9,22,Cn1ccnc1-c1ccc([C@H]2[C@H](C(=O)NO)[C@@H]2c2ccccc2)cc1,2.57978359661681,mouse_mic_cl,train,train
10,27,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(O)c1,1.8808135922807916,mouse_mic_cl,test,train
11,30,c1cc(Nc2nccc(-c3cnc(NC4CCOCC4)nc3CC3CC3)n2)ccn1,1.8182258936139557,mouse_mic_cl,test,train
12,31,c1ccc(CNc2ncc(-c3ccnc(Nc4ccncc4)n3)c(CC3CC3)n2)cc1,1.8739015978644613,mouse_mic_cl,test,train
13,32,CC(C)(O)CNc1ncc(-c2ccnc(Nc3ccncc3)n2)c(CC2CC2)n1,1.8007170782823851,mouse_mic_cl,train,train
14,33,CCC(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,1.0791812460476249,mouse_mic_cl,test,train
15,50,C[C@H](NC(=O)c1ncccn1)c1ccc(NC(=O)[C@H]2C[C@@H]2c2cccnc2)cc1,1.5843312243675307,mouse_mic_cl,train,train
16,51,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(N)=O)cc34)cc2)cn1,1.1139433523068367,mouse_mic_cl,train,train
17,52,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCC5)cc34)cc2)cn1,2.2227164711475837,mouse_mic_cl,train,train
18,53,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCNCC5)cc34)cc2)cn1,1.724275869600789,mouse_mic_cl,train,train
19,60,COc1cc(-c2nnc3n2CCCC3(Cc2ccc(F)c(F)c2)C(=O)O)ccc1-c1cnc(C)o1,2.170261715394957,mouse_mic_cl,train,test
20,69,CP(C)(=O)c1ccc2c(c1)[C@@H](O)[C@H]([C@H]1c3ccccc3-c3cncn31)CC2,1.591064607026499,mouse_mic_cl,train,train
21,73,Cn1cc2c3c(c[nH]c3c1=O)CN(C1CCC(F)(F)CC1)c1ccc(CS(C)(=O)=O)cc1-2,2.425974160919376,mouse_mic_cl,train,train
22,75,CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,1.869231719730976,mouse_mic_cl,train,train
23,77,Cc1cccc(CNC(c2ccccc2)c2nc(Cc3ccccc3)c(N3CCOCC3)o2)c1,2.3364597338485296,mouse_mic_cl,train,train
24,78,CCCCc1ccc(-c2nc(CNCc3cccnc3)co2)cc1,1.6434526764861874,mouse_mic_cl,test,train
25,79,CCCCc1ccc(-c2nc(CN3CCN(C)CC3)co2)cc1,1.4913616938342726,mouse_mic_cl,train,train
26,80,CCCCCC(C)NCc1coc(-c2ccc(C(C)C)cc2)n1,1.5563025007672873,mouse_mic_cl,train,train
27,81,CC(C)(C)CNCc1coc(-c2ccc(OCC(C)(C)C)cc2)n1,0.4771212547196624,mouse_mic_cl,train,train
28,83,COc1ccc(N/C(=N/O)c2ccccc2-c2ccccc2)cc1,2.220108088040055,mouse_mic_cl,test,train
29,84,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccnc(C2CC2)c1,2.5646660642520893,mouse_mic_cl,train,train
30,85,CC1(C)CN(Cc2ccc3c(c2)OCO3)C1,4.204119982655925,mouse_mic_cl,train,test
31,91,O/N=C(\NC1CCCCC1)c1ccccc1Cc1ccccc1,2.5809249756756194,mouse_mic_cl,test,train
32,93,C[C@H]1CC[C@H](NC(=O)c2cc3c(F)cc(F)cc3[nH]2)CC1,2.173186268412274,mouse_mic_cl,train,train
33,94,COP(=O)(c1ccc2nc(-c3ccc(F)cc3)oc2c1)C(C)C,1.7185016888672742,mouse_mic_cl,test,test
34,98,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc2oc(C3CC3)nc2c1,2.071882007306125,mouse_mic_cl,train,train
35,99,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc(-c2cnco2)cc1,1.9493900066449128,mouse_mic_cl,train,train
36,100,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc(-c2cncnc2)cc1,2.093421685162235,mouse_mic_cl,train,train
37,105,O=C(NO)[C@]1(F)[C@H](c2ccccc2)[C@H]1c1ccc(-c2ncc(Cl)cn2)cc1,1.863322860120456,mouse_mic_cl,train,test
38,106,O=C(NO)[C@]1(F)[C@H](c2ccccc2)[C@H]1c1ccc(-c2nccc(C(F)(F)F)n2)cc1,2.41161970596323,mouse_mic_cl,train,test
39,110,CCOc1cc(C(O)(CCN(C)C)C(c2cc3cc(Br)ccc3nc2OC)c2ccnc(OC)c2OC)cc(OC(C)C)n1,0.8450980400142568,mouse_mic_cl,train,train
40,111,CCOc1cc(C(O)(CCN(C)C)C(c2cc(OC)nc(OC)c2)c2cc3cc(Br)ccc3nc2OC)cc(OC(C)C)n1,0.3617278360175928,mouse_mic_cl,train,train
41,112,COc1cc(-c2nnc3n2CCCC32OCc3ccccc3N(CC(F)(F)F)C2=O)ccc1-c1cnc(C)o1,1.792391689498254,mouse_mic_cl,train,train
42,116,COc1ccc(Cl)cc1OC1CN(S(=O)(=O)c2ccc3[nH]ncc3c2)C1,2.972665592266111,mouse_mic_cl,train,test
43,117,CC(=O)NCCNc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,1.568201724066995,mouse_mic_cl,train,train
44,131,Cn1cc(Cn2c(=O)c3cc(S(=O)(=O)NC4(C)CC4)ccc3n(CC3COC3)c2=O)cn1,1.2041199826559248,mouse_mic_cl,train,train
