Smiles_unify,value,property,scaffold_train_test_label,random_train_test_label
Nc1noc2ccc(-n3nc(C(F)(F)F)c4c3C(=O)N(c3ccc(-c5ccccc5CN5CC[C@@H](O)C5)cc3)CC4)cc12,0.97,ppb,train,test
COc1cc(NC(C(=O)c2c[nH]c3ccccc23)c2ccccc2)cc(OCCO)c1,0.99,ppb,train,train
O=C(O)C[C@H](NC(=O)Cn1c(C2CC2)cnc(NCc2ccc3c(n2)NCCC3)c1=O)c1ccc2c(c1)OCO2,0.975,ppb,train,test
CN1CCN(Nc2ncc(Nc3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,0.51,ppb,test,train
N#Cc1cc(F)cc(Oc2ccc3c(c2C(F)F)[C@@H](O)C(F)(F)S3(=O)=O)c1,0.63,ppb,train,test
c1cnc(Nc2ncnc3ccc(-c4ccnc(N5CCOCC5)n4)cc23)nc1,0.88,ppb,train,train
c1cc(-c2ccc3ncnc(Nc4ccncn4)c3c2)cc(N2CCOCC2)c1,0.977,ppb,test,train
c1ccc(Nc2nccc(-c3cnn4ccccc34)n2)cc1,0.99,ppb,train,test
c1ccc(-c2cnn3ncccc23)cc1,0.91,ppb,train,train
N#Cc1cccc(Nc2nccc(-c3c(-c4ccc(C(F)(F)F)cc4)nn4ncccc34)n2)c1,0.97,ppb,test,train
N#Cc1cccc(Nc2nccc(-c3c(CO)nn4ncccc34)n2)c1,0.93,ppb,test,train
O[C@H]1CC[C@H](Nc2nccc(-c3cnn4nc(N5CCOCC5)ccc34)n2)CC1,0.88,ppb,test,train
CCOc1cc([C@H](c2cc3cc(Br)ccc3cc2OC)[C@@](O)(CCN(C)C)c2cccc3ccoc23)cc(OC)n1,1.0,ppb,test,train
CC1(C)Cc2c(c(C(=O)Nc3cc(C(F)F)ccc3F)cc3nc(Nc4c(F)cccc4Cl)[nH]c23)O1,0.9982,ppb,test,test
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(Cc3ccccn3)ns2)n1,0.991,ppb,train,train
CS(=O)(=O)Nc1nnc2cc(OCC34CC5CC(CC(C5)C3)C4)c(C3CC3)cn12,0.998,ppb,train,train
Fc1ccc(Oc2ccc(-c3noc(-c4ccc5[nH]ccc5c4)n3)cc2)cc1,0.988,ppb,train,test
CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,0.805,ppb,train,train
CN1CCN=C1c1ccc(CCNC(=O)C[C@@H]2C(=O)Nc3ccc(Cl)cc3N2S(=O)(=O)c2ccc3ccccc3c2)cc1,0.917,ppb,train,test
Cc1cc2c(Nc3cnccn3)ccnc2cc1-c1cnc(N2CCCNCC2)nc1,0.7,ppb,train,train
O=C(O)C[C@H](NC(=O)Cn1c(C2CC2)ccc(NCc2ccc3c(n2)NCCC3)c1=O)c1cccc(F)c1,0.9940000000000001,ppb,train,train
Cc1c(N2CC[C@@H]([C@H](C)N)C2)c(F)cc2c(CN)cc(=O)n(C3CC3)c12,0.17,ppb,train,train
COCCOc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5nccs5)nc43)CC2)cc1F,0.85,ppb,train,test
COC(=O)c1ccccc1C1=CCC(CNc2nccc(C)c2NC(=O)CC#N)CC1,0.99,ppb,test,test
Cc1cc([C@H](C)Nc2nccc(N3C(=O)OC[C@@H]3[C@H](C)F)n2)ncc1-c1ccnc(C(F)(F)F)c1,0.83,ppb,train,train
Cc1cccc(Cl)c1Nc1nc2cc(C(=O)Nc3cc(C(F)(F)F)ccc3F)c3c(c2[nH]1)CC(C)(C)O3,0.9997,ppb,test,train
CN(c1ncnc2[nH]ccc12)[C@H]1CN(S(=O)(=O)c2cccc(C#N)c2)CC12CC2,0.8740000000000001,ppb,train,test
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,0.34,ppb,train,train
O=C(Cn1cnc([N+](=O)[O-])n1)N1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,0.821,ppb,train,train
O=C(Cn1c(Cl)cnc(NCC(F)(F)c2ccccn2)c1=O)NCc1ncccc1F,0.14,ppb,train,train
COc1cc2[nH]c(=O)c([C@H](C)Nc3ncc(C#N)c(OC)n3)cc2cc1Cl,0.9856,ppb,test,train
COc1cncc(NC(C(=O)c2c[nH]c3ccccc23)c2ccccc2)c1,0.995,ppb,test,train
C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N2CC(F)(F)C[C@@H]2C)c(Cl)c1Cl)C(F)(F)F,0.956,ppb,train,train
CCc1cnc(NCc2ccc3c(n2)NCCC3)c(=O)n1CC(=O)N[C@@H](CC(=O)O)c1cccc(F)c1,0.972,ppb,train,train
CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2COc3c2cccc3C(F)(F)F)nc1,0.975,ppb,train,train
