,index,Smiles_unify,value,property,scaffold_train_test_label,random_train_test_label
0,1,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N(C)C,1.146128035678238,rat_mic_cl,train,train
1,2,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cscn4)c3)c12)C(=O)N(C)C,1.255272505103306,rat_mic_cl,train,train
2,3,CCCCNC(=O)c1ccc2c(c1)N=C(c1ccc(Cl)cc1)c1ccccc1S2,1.9493900066449128,rat_mic_cl,train,test
3,6,CC(C)N1CCC(Oc2ccc3c(c2)cc(C(=O)N2CCC(F)(F)CC2)n3S(=O)(=O)c2ccc(F)cc2)CC1,4.301029995663981,rat_mic_cl,test,train
4,7,Cc1ccc2c(OCCN3CCC(Cc4cccc(N5CCCCC5)c4)CC3)cccc2n1,0.7923916894982539,rat_mic_cl,train,train
5,11,N#Cc1ccc(COc2cc3n(n2)CCCC3)nc1,1.6232492903979006,rat_mic_cl,train,train
6,17,C[C@H](O)[C@@H](CCc1cccc2oc(-c3ccc(Cl)cc3)nc12)n1cnc(C(N)=O)c1,1.6989700043360187,rat_mic_cl,test,test
7,18,COc1cc(N2CCN(C(=O)N[C@@H](C)c3cccc4ccccc34)C[C@H]2C)ccc1-c1cnc(C)o1,2.1760912590556813,rat_mic_cl,train,train
8,19,COc1cc(N2CCN(C(=O)N[C@@H](C)c3cccc4ccccc34)C[C@@H]2C)ccc1-c1cnc(C)o1,2.1760912590556813,rat_mic_cl,train,train
9,20,CC1C(=O)NN=C2COc3cc(F)c(NC4CNC4)cc3N21,1.6989700043360187,rat_mic_cl,train,test
10,23,N[C@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4ncccc4F)nn23)C1,1.6020599913279625,rat_mic_cl,train,train
11,24,N[C@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4ncccc4Cl)nn23)C1,1.7634279935629371,rat_mic_cl,train,train
12,28,NC(=O)c1c(NC(=O)Cn2nc(C(F)(F)F)c3c2CCNC3)sc2c1CCCC2,1.5185139398778875,rat_mic_cl,train,train
13,37,COc1cccc(C(=O)NCCNC(=O)[C@H](CC(=O)NC(C)(C)C)NS(=O)(=O)c2ccc(C)cc2)c1,2.060697840353612,rat_mic_cl,test,test
14,39,CCC1=C(c2cccc(O)c2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21,1.591064607026499,rat_mic_cl,train,test
15,42,CC1=C(C2CCCCC2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21,1.568201724066995,rat_mic_cl,train,train
16,55,CC(=O)N(O)C(CS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)C(C)C,2.397940008672037,rat_mic_cl,test,train
17,61,COc1cc(N2CCCN(C(=O)N[C@@H](C)c3cccc4ccccc34)CC2)ccc1-c1cnc(C)o1,2.380211241711606,rat_mic_cl,train,train
18,64,C[C@@H](N[C@@H]1CCCN(c2cccc(C(F)(F)F)c2)C1)c1cccc2ccccc12,2.785329835010767,rat_mic_cl,train,train
19,65,C[C@@H](N[C@H]1CCN(c2cccc(OC(F)(F)F)c2)C1)c1cccc2ccccc12,2.24551266781415,rat_mic_cl,train,train
20,66,COc1cc(N2CCN(C(=O)CN3CCc4ccccc43)CC2)ccc1-c1cnc(C)o1,2.204119982655925,rat_mic_cl,train,train
