index,Smiles_unify,value,property,scaffold_train_test_label,random_train_test_label
0,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCCNCC1,7.1276,solubility,test,train
1,CCc1ccc(S(=O)(=O)c2ccccc2)cc1S(=O)(=O)NCCCN(C)C,4.802,solubility,train,train
2,O=C(Nc1cccc(-c2ccc(OC(F)(F)F)cc2)c1)N[C@@H]1COc2nc([N+](=O)[O-])cn2C1,3.8114,solubility,train,train
3,Cn1ccnc1Sc1ccc(Nc2c(C#N)cnc3cc(/C=C/CN4CCCC4)ccc23)cc1Cl,4.6019,solubility,test,train
4,Cn1ccnc1Sc1ccc(Nc2c(C#N)cnc3cc(/C=C/CCO)ccc23)cc1Cl,3.3362,solubility,test,test
5,Cn1ccnc1Sc1ccc(Nc2c(C#N)cnc3cc(/C=C/CO)ccc23)cc1Cl,3.3496,solubility,test,train
6,O=c1nc2n(CCC3CC3)nc(-c3ccc4c(c3)OC(F)(F)O4)nc-2c(=O)n1CC1CC1,4.2068,solubility,train,train
7,Cn1c(=O)nc2n(CCC3CC3)nc(-c3nc4ccccc4s3)nc-2c1=O,4.5315,solubility,train,train
8,COc1ccc2c(c1)c(/C=C1\Oc3cc(O)cc(O)c3C1=O)c(C)n2CCCN1CCOCC1,3.3333,solubility,train,train
9,O=C1/C(=C/c2c(-c3ccc(F)cc3)[nH]c3ccccc23)Oc2cc(O)cc(O)c21,3.4122,solubility,train,train
10,O=C1/C(=C/c2c(-c3ccc4ccccc4c3)[nH]c3ccccc23)Oc2cc(O)cc(O)c21,3.3777,solubility,test,train
11,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)C(CCCN2CCN(C)CC2)NC(=O)[C@H](CCc2ccccc2)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(C)=O)[C@H](O)[C@H](C)O1,4.9922,solubility,train,train
12,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCc2ccc(O)cc2)NC(=O)[C@H](CCc2ccccc2)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(C)=O)[C@H](O)[C@H](C)O1,2.8849,solubility,test,train
13,COc1cc2[nH]c(C)c(-c3ccccc3)c(=O)c2cc1Cl,3.699,solubility,train,test
14,COc1cc2[nH]c(C)cc(=O)c2cc1Cl,3.301,solubility,train,train
15,C=C(CCCCC)c1c(C)[nH]c2cc(OC)c(Cl)cc2c1=O,3.301,solubility,train,test
16,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(C(F)(F)F)nc3)nc1)C2,4.2207,solubility,train,train
17,Cc1ncc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)n1C(C)C,5.0792,solubility,train,train
18,CC1(C)CCc2c([nH]c3cccc(Cl)c3c2=O)C1,3.7782,solubility,test,train
19,Cc1cc2[nH]c3c(c(=O)c2cc1C)CCCC3,4.6128,solubility,test,train
20,COc1cc(OC)c2c(=O)c3c([nH]c2c1)CCCC3,5.2742,solubility,test,train
21,Cc1ccc2c(=O)c3c([nH]c2c1)CC(C)(C)CC3,4.2304,solubility,test,train
22,O=c1c2c([nH]c3c(C(F)(F)F)cccc13)CCCC2,5.0645,solubility,test,train
23,CN(C)C(=O)n1cc(C(=O)c2ccn3c2CS[C@@H]3c2cccnc2)c2ccc(-c3nccs3)cc21,4.08,solubility,train,train
24,Cc1c(Cl)nc(C2CC2)nc1Cl,5.1761,solubility,train,train
25,O=c1c2c([nH]c3cc(C(F)(F)F)ccc13)CCCCC2,4.2304,solubility,train,train
26,Cc1ccc2[nH]c3c(c(=O)c2c1)CC(C)(C)CC3,4.716,solubility,test,train
27,CC1(C)CCc2[nH]c3cc(Cl)ccc3c(=O)c2C1,3.0,solubility,test,train
28,O=C(Nc1ccc(C(=O)NCCN2CCCCC2)cc1)Nc1ccc(-c2nc(O[C@H]3CCOC3)nc(N3CCOCC3)n2)cc1,3.2102,solubility,train,train
