Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Document ChEMBL ID,Source Description,Document Journal,Document Year,Comment
CHEMBL2092729,CN1C(=O)[C@@H]2C3c4ccccc4C([C@@H]2C1=O)N3N=O,Activity,,,,CHEMBL1768512,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertants after 44 hrs by Ames test,T,BAO_0000218,organism-based format,CHEMBL1764971,Scientific Literature,Bioorg Med Chem,2011.0,Non-toxic
CHEMBL1766317,COCC12CCC(C(C(=O)OC)C1)N2N=O,Activity,,,,CHEMBL1768512,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertants after 44 hrs by Ames test,T,BAO_0000218,organism-based format,CHEMBL1764971,Scientific Literature,Bioorg Med Chem,2011.0,Non-toxic
CHEMBL1766318,COC(=O)C1CC2(COCc3ccccc3)CCC1N2N=O,Activity,,,,CHEMBL1768512,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertants after 44 hrs by Ames test,T,BAO_0000218,organism-based format,CHEMBL1764971,Scientific Literature,Bioorg Med Chem,2011.0,Non-toxic
CHEMBL524534,CCC(C)/C=C(\C)[C@H]1C(C)=C[C@@]2(C)C[C@@H](C)CC[C@@H]2[C@H]1C(=O)C1=CC(O)(Cc2ccc(O)cc2)NC1=O,Activity,,,,CHEMBL977823,Antifungal activity against Cryptococcus neoformans (Sanfelice) Vuillemin ATCC 90112 assessed as diameter of inhibition zone at 20 ug/disk after 48 to 72 hrs by paper disk assay,F,BAO_0000218,organism-based format,CHEMBL1142625,Scientific Literature,J Nat Prod,2000.0,Not Active
CHEMBL501712,CCOC1C(C(=O)[C@H]2[C@@H](/C(C)=C/C(C)CC)C(C)=C[C@@]3(C)C[C@@H](C)CC[C@H]23)C(=O)NC1(O)Cc1ccc(O)cc1,Activity,,,,CHEMBL976959,Antifungal activity against Aspergillus fumigatus Fresenius 167 assessed as diameter of inhibition zone upto 100 ug/disk after 48 to 72 hrs by paper disk assay,F,BAO_0000218,organism-based format,CHEMBL1142625,Scientific Literature,J Nat Prod,2000.0,Not Active
CHEMBL1222316,CCCCNc1nc(NCCOCCOCCNC(=O)c2ccccc2)nc(NCc2ccccn2)n1,Activity,,,,CHEMBL1224985,Induction of rabbit GAPDH tetramer segregation into monomers at 10 uM after 30 mins by SDS-PAGE,B,BAO_0000357,single protein format,CHEMBL1221194,Scientific Literature,Nat Chem Biol,2007.0,Not Active
CHEMBL279261,OC1(c2ccc(-c3ccccc3)cc2)CN2CCC1CC2,Activity,,,,CHEMBL959528,"Inhibition of sterol biosynthesis in Leishmania mexicana amazonensis promastigotes assessed as reduction in endogenous cholesta-5,7,24-trien-3beta-ol level at 3 uM after 96 hrs by gas-liquid chromatography",F,BAO_0000218,organism-based format,CHEMBL1137637,Scientific Literature,Antimicrob Agents Chemother,2007.0,Not Determined
CHEMBL549810,C=CCOC(=O)C1=C(C)NC2=C(C(=O)C(C)(C)CC2)C1c1cc(C(F)(F)F)cc(Cl)c1F,Activity,,,,CHEMBL1030438,Antagonist activity at voltage dependent L-type calcium channel in nitric oxide synthase inhibitor L-NAME hydrochloride pretreated New Zealand white rabbit sigmoid colon circular smooth muscle strip assessed as effect on relaxation response,F,BAO_0000221,tissue-based format,CHEMBL1158354,Scientific Literature,Eur J Med Chem,2009.0,Not Evaluated
CHEMBL259665,CCOC(=O)c1ccc(C2=CN3CCC2CC3)cc1,Activity,,,,CHEMBL962691,"Inhibition of sterol biosynthesis in Leishmania mexicana amazonensis promastigotes assessed as reduction in endogenous cholesta-7,24-dien-3beta-ol level at 1 uM after 96 hrs by gas-liquid chromatography",F,BAO_0000218,organism-based format,CHEMBL1137637,Scientific Literature,Antimicrob Agents Chemother,2007.0,Not Determined
CHEMBL2261695,CCOC(=O)CSC1=NC(c2ccccc2OC)C(C(=O)OCC)=C(C)N1,Activity,,,,CHEMBL3056829,"Antiparasitic activity Toxoplasma gondii RH infected Swiss albino mouse assessed as extramedullary hematopoiesis in host spleen at 0.25 mg, po administered 48 hr post-infection measured after 3 days by haematoxylin and eosin staining relative to control",F,BAO_0000218,organism-based format,CHEMBL3045961,Scientific Literature,Med Chem Res,2008.0,Not Active
CHEMBL2261433,CC(=O)C1=C(C)N=C(SCCC(=O)O)NC1c1cccc(O)c1,Activity,,,,CHEMBL3056829,"Antiparasitic activity Toxoplasma gondii RH infected Swiss albino mouse assessed as extramedullary hematopoiesis in host spleen at 0.25 mg, po administered 48 hr post-infection measured after 3 days by haematoxylin and eosin staining relative to control",F,BAO_0000218,organism-based format,CHEMBL3045961,Scientific Literature,Med Chem Res,2008.0,Not Active
CHEMBL2260647,COc1ccc2cc3c(/N=C/OC[C@@H](O)[C@H](O)[C@@H](O)C=O)n[nH]c3nc2c1,Activity,,,,CHEMBL3058231,Genotoxicity in Homo sapiens (human) MCF10A cells assessed as reduction of BP-DNA adduct formation at 100 uM after 24 hr by 32P-postlabeling technique,T,BAO_0000219,cell-based format,CHEMBL3046726,Scientific Literature,Med Chem Res,2008.0,Non-toxic
CHEMBL2260646,Cc1ccc2cc3c(/N=C/OC[C@@H](O)[C@@H](O)[C@H](O)C=O)n[nH]c3nc2c1,Activity,,,,CHEMBL3058231,Genotoxicity in Homo sapiens (human) MCF10A cells assessed as reduction of BP-DNA adduct formation at 100 uM after 24 hr by 32P-postlabeling technique,T,BAO_0000219,cell-based format,CHEMBL3046726,Scientific Literature,Med Chem Res,2008.0,Non-toxic
CHEMBL585,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,Activity,'>',40.0,um,CHEMBL1738021,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (Ba/F3 cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,inactive
CHEMBL1632295,COC(=O)N/N=C/c1ccc2nonc2c1,Activity,,,,CHEMBL3082533,Stimulation of plant growth parameters in Triticum aestivum (wheat) assessed as increase in radicular weight at 50 mol/ha,F,BAO_0000218,organism-based format,CHEMBL3044699,Scientific Literature,J Agric Food Chem,2000.0,Active
CHEMBL2269588,NC(=S)N/N=C/c1c(-c2ccccc2)no[n+]1[O-],Activity,,,,CHEMBL3082534,Stimulation of plant growth parameters in Triticum aestivum (wheat) assessed as increase in aerial weight at 50 mol/ha,F,BAO_0000218,organism-based format,CHEMBL3044699,Scientific Literature,J Agric Food Chem,2000.0,Active
CHEMBL369573,Nc1nc(-c2ccccc2)c2c(n1)-c1ccccc1C2=O,Activity,,,,CHEMBL1113725,Mutagenic activity in Salmonella Typhimurium by Ames assay,T,BAO_0000019,assay format,CHEMBL1157891,Scientific Literature,Bioorg Med Chem Lett,2010.0,Non-toxic
CHEMBL1096998,Nc1nc(-c2ccc(Cl)cc2)c2c(n1)-c1ccccc1C2=O,Activity,,,,CHEMBL1113725,Mutagenic activity in Salmonella Typhimurium by Ames assay,T,BAO_0000019,assay format,CHEMBL1157891,Scientific Literature,Bioorg Med Chem Lett,2010.0,Non-toxic
