Drug_ID	Drug	Y
"12dichlorotetrafluoroethane (cryofluorane)"	"FC(F)(Cl)C(F)(F)Cl"	1
"2methylthiophencyclidine (gacyclidine)"	"C[C@H]1CCCC[C@]1(c1cccs1)N1CCCCC1"	1
"7amphetaminoethyltheophylline (fenetylline)"	"C[C@@H](Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C"	1
"acaprazine"	"CC(=O)NCCCN1CCN(c2cc(Cl)ccc2Cl)CC1"	1
"acebrochol"	"CC(=O)O[C@@H]1CC[C@@]2(C)[C@H]3CC[C@]4(C)[C@@H](CC[C@@H]4[C@@H](C)CCCC(C)C)[C@H]3C[C@H](Br)[C@@]2(Br)C1"	1
"acecarbromal"	"CCC(Br)(CC)C(=O)NC(=O)NC(C)=O"	1
"acefurtiamine"	"CC(=O)OCC(=O)OCCC(SC(=O)c1ccco1)=C(C)N(C=O)Cc1cnc(C)nc1N"	1
"aceglutamide"	"CC(=O)N[C@@H](CCC(N)=O)C(=O)O"	1
"aceperone"	"CC(=O)NCC1(c2ccccc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1"	1
"acetaminosalol"	"CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1"	1
"acetazolamide"	"CC(=O)Nc1nnc(S(N)(=O)=O)s1"	1
"acetiamine"	"CC(=O)OCCC(SC(C)=O)=C(C)N(C=O)Cc1cnc(C)nc1N"	1
"acetorphan (racecadotril and ecadotril)"	"CC(=O)SC[C@@H](Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1"	1
"acetorphine"	"CCC[C@@](C)(O)[C@H]1C[C@]23C=C[C@@]1(OC)[C@H]1Oc4c(OC(C)=O)ccc5c4[C@@]12CCN(C)[C@@H]3C5"	1
"acetylmethadol (levacetylmethadol, alphacetylmethadol, betacetylmethadol )"	"CC[C@@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1"	1
"acevaltrate"	"CC(=O)OCC1=CO[C@@H](OC(=O)CC(C)(C)OC(C)=O)[C@@H]2C1=C[C@H](OC(=O)CC(C)C)[C@]21CO1"	1
"acrocinonide"	"C=C[C@H]1O[C@@H]2C[C@@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5(C)[C@@]4(F)[C@@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1"	1
"acyclovir (aciclovir)"	"Nc1nc2c(ncn2COCCO)c(=O)[nH]1"	1
"adafenoxate"	"O=C(COc1ccc(Cl)cc1)OCCN[C@]12CC3C[C@H](C[C@H](C3)C1)C2"	1
"adatanserin"	"O=C(NCCN1CCN(c2ncccn2)CC1)[C@]12C[C@H]3C[C@@H](C[C@H](C3)C1)C2"	1
"alaproclate"	"C[C@H](N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1"	1
"alclometasone-dipropionate"	"CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@@H]3[C@H]([C@H](O)C[C@]21C)[C@]1(C)C=CC(=O)C=C1C[C@H]3Cl"	1
"alentemol"	"CCCN(CCC)[C@H]1Cc2cccc3cc(O)cc(c23)C1"	1
"alfadolone"	"C[C@]12CC(=O)[C@@H]3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@]43C)[C@H]1CC[C@H]2C(=O)CO"	1
"alfaxalone (renanolone)"	"CC(=O)[C@H]1CC[C@H]2[C@H]3CC[C@H]4C[C@H](O)CC[C@@]4(C)[C@H]3C(=O)C[C@@]12C"	1
"alfentanil"	"CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1"	1
"algestone-acetonide"	"CC(=O)[C@@]12OC(C)(C)O[C@H]1C[C@H]1[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]12C"	1
"aliflurane"	"CO[C@@]1(F)C(F)(F)[C@@]1(F)Cl"	1
"alletorphine"	"C=CCN1CC[C@]23c4c5ccc(O)c4O[C@@H]2[C@]2(OC)C=C[C@]3(C[C@@H]2[C@](C)(O)CCC)[C@H]1C5"	1
"allomethadione"	"C=CCN1C(=O)O[C@H](C)C1=O"	1
"almoxatone"	"CNC[C@H]1CN(c2ccc(OCc3cccc(Cl)c3)cc2)C(=O)O1"	1
"alnespirone"	"COc1cccc2c1C[C@H](CCCNCCCCN1C(=O)CC3(CCCC3)CC1=O)CO2"	1
"alonimid"	"O=C1CC[C@@]2(CCC(=O)c3ccccc32)C(=O)N1"	1
"aloracetam"	"CC(=O)NCCn1c(C)cc(C=O)c1C"	1
"alozafone"	"C[C@@H](CC#N)N(C)CC(=O)N(C)c1ccc(Cl)cc1C(=O)c1ccccc1F"	1
"alphameprodine (betameprodine)"	"CCC(=O)O[C@@]1(c2ccccc2)CCN(C)C[C@@H]1CC"	1
"alpiropride"	"C=CCN1CCC[C@@H]1CNC(=O)c1cc(S(=O)(=O)NC)c(N)cc1OC"	1
"alrestatin"	"O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O"	1
"amcinafal"	"CCC1(CC)O[C@H]2C[C@H]3[C@H]4CCC5=CC(=O)C=C[C@@]5(C)[C@@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1"	1
"amcinafide"	"C[C@]1(c2ccccc2)O[C@H]2C[C@H]3[C@H]4CCC5=CC(=O)C=C[C@@]5(C)[C@@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1"	1
"amcinonide"	"CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@H]1C[C@H]1[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@H](O)C[C@]12C"	1
"amelometasone"	"CCC(=O)O[C@@]1(C(=O)COC)[C@H](C)C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@H](O)C[C@]21C"	1
"ameltolide"	"Cc1cccc(C)c1NC(=O)c1ccc(N)cc1"	1
"amesergide"	"CC(C)n1cc2c3c(cccc31)[C@@H]1C[C@@H](C(=O)NC3CCCCC3)CN(C)[C@@H]1C2"	1
"amfetaminil"	"C[C@@H](Cc1ccccc1)N[C@@H](C#N)c1ccccc1"	1
"amineptine"	"O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21"	1
"amisulpride"	"CCN1CCC[C@H]1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC"	1
"amitriptylinoxide"	"C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21"	1
"amixetrine"	"CC(C)CCO[C@@H](CN1CCCC1)c1ccccc1"	1
"amperozide"	"CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1"	1
"amphenidone"	"Nc1cccc(-n2ccccc2=O)c1"	1
"amphetamine"	"C[C@H](N)Cc1ccccc1"	1
"ampyzine"	"CN(C)c1cnccn1"	1
"amylene-hydrate"	"CCC(C)(C)O"	1
"anileridine"	"CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1"	1
"aniracetam"	"COc1ccc(C(=O)N2CCCC2=O)cc1"	1
"anseculin"	"COc1cc2oc(=O)c(C)c(C)c2cc1OCCCN1CCN(c2ccccc2OC)CC1"	1
"apadoline"	"CCCNC(=O)c1ccc2c(c1)N(CCN1CCCC1)c1ccccc1S2"	1
"apomorphine"	"CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3"	1
"aprobarbital"	"C=CCC1(C(C)C)C(=O)NC(=O)NC1=O"	1
"aripiprazole"	"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1"	1
"ascorbic-acid"	"O=C1O[C@H]([C@@H](O)CO)C(O)=C1O"	1
"aspirin"	"CC(=O)Oc1ccccc1C(=O)O"	1
"atolide"	"CCN(CC)c1ccc(NC(=O)c2ccccc2N)c(C)c1"	1
"atromepine"	"CN1[C@H]2CC[C@H]1CC(OC(=O)[C@@](C)(CO)c1ccccc1)C2"	1
"atropine-oxide"	"C[N+]1([O-])[C@H]2CC[C@H]1CC(OC(=O)[C@@H](CO)c1ccccc1)C2"	1
"avizafone"	"CN(C(=O)CNC(=O)[C@H](N)CCCCN)c1ccc(Cl)cc1C(=O)c1ccccc1"	1
"axamozide"	"O=c1[nH]c2cc(Cl)ccc2n1C1CCN(C[C@H]2COc3ccccc3O2)CC1"	1
"azabon"	"Nc1ccc(S(=O)(=O)N2CC3CCC(CC3)C2)cc1"	1
"azabuperone"	"O=C(CCCN1CCN2CCC[C@H]2C1)c1ccc(F)cc1"	1
"azacyclonol"	"OC(c1ccccc1)(c1ccccc1)C1CCNCC1"	1
"azaloxan"	"O=C1NCCN1C1CCN(CC[C@H]2COc3ccccc3O2)CC1"	1
"azaperone"	"O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1"	1
"azaquinzole"	"c1ccc2c(c1)CCN1CCNC[C@@H]21"	1
"azepindole"	"c1ccc2c(c1)cc1n2CCCNC1"	1
"azipramine"	"CN(CCc1cc2cccc3c2n1-c1ccccc1CC3)Cc1ccccc1"	1
"balaperidone"	"O=c1[nH]c2ccccc2c(=O)n1CCN1C[C@H]2[C@@H](c3ccc(F)cc3)C[C@H]2C1"	1
"bamifylline"	"CCN(CCO)CCn1c(Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C"	1
"barbital"	"CCC1(CC)C(=O)NC(=O)NC1=O"	1
"batelapine"	"Cc1nc2n(n1)C(N1CCN(C)CC1)=Nc1ccccc1C2"	1
"beclamide"	"O=C(CCCl)NCc1ccccc1"	1
"beclomethasone (beclometasone)"	"C[C@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(Cl)[C@H](O)C[C@@]2(C)[C@@]1(O)C(=O)CO"	1
"befloxatone"	"COC[C@H]1CN(c2ccc(OCC[C@H](O)C(F)(F)F)cc2)C(=O)O1"	1
"bemegride"	"CCC1(C)CC(=O)NC(=O)C1"	1
"benactyzine"	"CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1"	1
"benfotiamine"	"CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N"	1
"benorilate"	"CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1"	1
"benperidol"	"O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1"	1
"bentazepam"	"O=C1CN=C(c2ccccc2)c2c(sc3c2CCCC3)N1"	1
"bentiamine"	"CC(=C(CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N"	1
"benzaprinoxide"	"C[N+](C)([O-])CC/C=C1/c2ccccc2C=Cc2c(Cl)cccc21"	1
"benzindopyrine"	"c1ccc(Cn2cc(CCc3ccncc3)c3ccccc32)cc1"	1
"benzquinamide"	"CCN(CC)C(=O)[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@H]2C[C@H]1OC(C)=O"	1
"benztropine (benzatropine)"	"CN1[C@H]2CC[C@H]1CC(OC(c1ccccc1)c1ccccc1)C2"	1
"benzyl-alcohol"	"OCc1ccccc1"	1
"berupipam"	"CN1CCc2cc(Cl)c(O)cc2[C@H](c2cc(Br)cc3c2OCC3)C1"	1
"bervastatin"	"CCOC(=O)C[C@H](O)C[C@H](O)C=CC1=C(c2ccc(F)cc2)c2ccccc2OC12CCCC2"	1
"betamethasone-acibutate"	"CC(=O)OCC(=O)[C@]1(OC(=O)C(C)C)[C@H](C)C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@H](O)C[C@]21C"	1
"betamethasone-benzoate"	"C[C@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@H](O)C[C@@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO"	1
"binospirone"	"O=C1CC2(CCCC2)CC(=O)N1CCNC[C@H]1COc2ccccc2O1"	1
"biotin"	"O=C(O)CCCC[C@H]1SC[C@H]2NC(=O)N[C@H]21"	1
"bipenamol"	"NCc1ccccc1Sc1ccccc1CO"	1
"biriperone"	"O=C(CCCN1CCN2Cc3[nH]c4ccccc4c3C[C@H]2C1)c1ccc(F)cc1"	1
"bisbentiamine"	"CC(=C(CCOC(=O)c1ccccc1)SSC(CCOC(=O)c1ccccc1)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N"	1
"bisorcic"	"CC(=O)NCCC[C@@H](NC(C)=O)C(=O)O"	1
"blonanserin"	"CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1"	1
"bremazocine"	"CC[C@@]12CCN(CC3(O)CC3)[C@@H](Cc3ccc(O)cc31)C2(C)C"	1
"brofoxine"	"CC1(C)OC(=O)Nc2ccc(Br)cc21"	1
"bromazepam"	"O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1"	1
"bromisoval"	"CC(C)[C@H](Br)C(=O)NC(N)=O"	1
"bromoform"	"BrC(Br)Br"	1
"bromperidol"	"O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1"	1
"brosotamide"	"Cc1cc(Br)cc(C(N)=O)c1O"	1
"brosuximide"	"O=C1C[C@H](c2cccc(Br)c2)C(=O)N1"	1
"brotizolam"	"Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2"	1
"buciclovir"	"Nc1nc2c(ncn2CC[C@H](O)CO)c(=O)[nH]1"	1
"buclizine"	"CC(C)(C)c1ccc(CN2CCN([C@@H](c3ccccc3)c3ccc(Cl)cc3)CC2)cc1"	1
"buprenorphine"	"CO[C@@]12CC[C@@]3(C[C@H]1[C@@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@]3(CCN1CC1CC1)[C@@H]2O5"	1
"bupropion"	"C[C@@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1"	1
"buramate"	"O=C(NCc1ccccc1)OCCO"	1
"butacetin"	"CC(=O)Nc1ccc(OC(C)(C)C)cc1"	1
"butaclamol"	"CC(C)(C)[C@@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1"	1
"butaperazine"	"CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2"	1
"butoctamide"	"CCCC[C@@H](CC)CNC(=O)C[C@@H](C)O"	1
"butorphanol"	"Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3"	1
"cabergoline"	"C=CCN1C[C@@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@H]2c3cccc4[nH]cc(c34)C[C@H]21"	1
"cafedrine"	"C[C@@H](NCCn1cnc2c1c(=O)n(C)c(=O)n2C)[C@H](O)c1ccccc1"	1
"camazepam"	"CN(C)C(=O)O[C@H]1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O"	1
"camphor"	"CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2"	1
"caproxamine"	"CCCCC/C(=N/OCCN)c1ccc(C)c(N)c1"	1
"captodiame"	"CCCCSc1ccc([C@@H](SCCN(C)C)c2ccccc2)cc1"	1
"capuride"	"CC[C@H](C)[C@@H](CC)C(=O)NC(N)=O"	1
"carbamazepine"	"NC(=O)N1c2ccccc2C=Cc2ccccc21"	1
"carbubarb"	"CCCCC1(CCOC(N)=O)C(=O)NC(=O)NC1=O"	1
"carburazepam"	"CN1C(=O)CN(C(N)=O)[C@@H](c2ccccc2)c2cc(Cl)ccc21"	1
"carfimate"	"C#C[C@H](OC(N)=O)c1ccccc1"	1
"carmantadine"	"O=C(O)[C@H]1CCN1[C@]12CC3C[C@H](C[C@H](C3)C1)C2"	1
"caroxazone"	"NC(=O)CN1Cc2ccccc2OC1=O"	1
"carperone"	"CC(C)NC(=O)OC1CCN(CCCC(=O)c2ccc(F)cc2)CC1"	1
"carphenazine (carfenazine)"	"CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2"	1
"carzenide"	"NS(=O)(=O)c1ccc(C(=O)O)cc1"	1
"cathinone"	"C[C@H](N)C(=O)c1ccccc1"	1
"cebaracetam"	"O=C1CN(C(=O)CN2C[C@H](c3ccc(Cl)cc3)CC2=O)CCN1"	1
"celucloral"	"O[C@H]1O[C@@H](COCCO[C@H](O)C(Cl)(Cl)Cl)[C@@H](O[C@H]2O[C@@H](COCCOCCO[C@H](O)C(Cl)(Cl)Cl)C[C@@H](O[C@H](O)C(Cl)(Cl)Cl)[C@@H]2O)[C@@H](OCCOCCO[C@H](O)C(Cl)(Cl)Cl)[C@@H]1O"	1
"cerivastatin"	"COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c1-c1ccc(F)cc1"	1
"cetohexazine"	"Cc1cc(C)c(=O)[nH]n1"	1
"cetophenicol (cetofenicol)"	"CC(=O)c1ccc([C@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1"	1
"cetotiamine"	"CCOC(=O)OCCC(SC(=O)OCC)=C(C)N(C=O)Cc1cnc(C)nc1N"	1
"chloralhydrate"	"OC(O)C(Cl)(Cl)Cl"	1
"chloralose"	"OC[C@H](O)[C@H]1O[C@H]2O[C@H](C(Cl)(Cl)Cl)O[C@H]2[C@@H]1O"	1
"chloramphenicol"	"O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl"	1
"chlordiazepoxide"	"CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1"	1
"chlorhexadol (chloralodol)"	"C[C@@H](CC(C)(C)O)O[C@H](O)C(Cl)(Cl)Cl"	1
"chlormezanone"	"CN1C(=O)CCS(=O)(=O)[C@H]1c1ccc(Cl)cc1"	1
"chloroform"	"ClC(Cl)Cl"	1
"chloroprednisone-acetate"	"CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@H]3C[C@H](Cl)C4=CC(=O)C=C[C@@]4(C)[C@H]3C(=O)C[C@]21C"	1
"chromocarb"	"O=C(O)c1cc(=O)c2ccccc2o1"	1
"ciclesonide"	"CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@H]1C[C@H]1[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@H]3[C@H](O)C[C@]12C"	1
"ciclotizolam"	"Clc1ccccc1C1=NCc2nnc(C3CCCCC3)n2-c2sc(Br)cc21"	1
"cicortonide"	"CC(=O)CC(=O)[C@@]12OC(C)(C)O[C@H]1C[C@H]1[C@H]3CC(C#N)=C4C=C(OCCCl)CC[C@@]4(C)[C@@]3(F)[C@H](O)C[C@]12C"	1
"cilobamine"	"CC(C)N[C@H]1C2CCC(CC2)[C@@]1(O)c1ccc(Cl)c(Cl)c1"	1
"cimemoxin"	"NNCC1CCCCC1"	1
"cimepanol"	"CC(C)[C@H](O)C1CCCCC1"	1
"cimoxatone"	"COC[C@H]1CN(c2ccc(OCc3cccc(C#N)c3)cc2)C(=O)O1"	1
"cinoctramide"	"COc1cc(/C=C/C(=O)N2CCCCCCC2)cc(OC)c1OC"	1
"cinolazepam"	"N#CCCN1C(=O)[C@@H](O)N=C(c2ccccc2F)c2cc(Cl)ccc21"	1
"ciprazafone"	"CN(C(=O)CNC1CC1)c1ccc(Cl)cc1C(=O)c1ccccc1Cl"	1
