Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Document ChEMBL ID,Source Description,Document Journal,Document Year
CHEMBL314768,Cn1cc(Cc2cn(CC(=O)N(CCN3CCCCC3)Cc3ccc(-c4ccc(C(F)(F)F)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,Permeability,'=',0.068,cm hr-1,CHEMBL633580,Permeability of compound was evaluated in an artificial membrane permeability assay,A,BAO_0000249,cell membrane format,CHEMBL1135959,Scientific Literature,Bioorg Med Chem Lett,2002.0
CHEMBL262993,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C1c2ccccc2CCc2ccccc21)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,Permeability,'=',4.7,10e4*cm min-1,CHEMBL653931,Permeability in Caco-2 Cell monolayers for the compound,F,BAO_0000219,cell-based format,CHEMBL1130387,Scientific Literature,J Med Chem,1997.0
CHEMBL3431531,NC(=O)c1cccc(-c2n[nH]c([C@H]3CCCCN3C(=O)COc3ccccc3)n2)c1,Permeability,'=',22.48,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431559,O=C(COc1ccccc1)N1CCCC[C@@H]1c1nc(-c2ccc(=O)[nH]c2)no1,Permeability,'=',47.5,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431572,Nc1cc(-c2noc([C@H]3CCCCN3C(=O)COc3ccccc3)n2)ccn1,Permeability,'=',53.0,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431608,O=C(COc1ccccc1)N1CCCC[C@@H]1c1nc(-c2cccc(B(O)O)c2)no1,Permeability,'=',41.5,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431896,COc1ccc(Cl)cc1S(=O)(=O)N1COc2c(F)cc(C(=O)Nc3ccc(C(=O)O)c(F)c3)cc21,Permeability,'=',18.7,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431822,COc1ccc(C)cc1S(=O)(=O)N1CCCc2ccc(C(=O)Nc3nc(CC(=O)O)cs3)cc21,Permeability,'=',16.9,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431878,Cc1sc([C@H]2CCCCN2C(=O)COc2ccccc2)nc1-c1cccc(C(=O)O)c1,Permeability,'=',61.9,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431882,COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2c(Cl)cc(C(=O)Nc3nc(CC(=O)O)cs3)cc21,Permeability,'=',26.0,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431884,CCN(c1cc(C(=O)Nc2nc(CC(=O)O)cs2)cc2c1OCO2)S(=O)(=O)c1cc(Cl)ccc1OC,Permeability,'=',34.0,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431695,CCN(CC)C(=O)c1nc([C@H]2CCCCN2C(=O)COc2ccccc2)no1,Permeability,'=',115.2,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431713,O=C(COc1ccccc1)N1CCCC[C@@H]1c1noc(-c2cccc(-n3cn[nH]c3=O)c2)n1,Permeability,'=',34.7,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431646,COc1ccc(Cl)cc1CN1C(=O)CSc2ccc(C(=O)Nc3nc(CC(=O)O)cs3)cc21,Permeability,'=',15.3,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431659,COc1ccc(Cl)cc1S(=O)(=O)N1CC[S+]([O-])c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc21,Permeability,'=',1.2,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431671,COc1ccc(Cl)cc1CN1C(=O)OC(C)(C)c2ccc(C(=O)Nc3ccc(CC(=O)O)cc3)cc21,Permeability,'=',17.1,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431827,COc1ccc(Cl)cc1S(=O)(=O)N(C)c1cc(C(=O)Nc2nc(CC(=O)O)cs2)cc2c1OCCO2,Permeability,'=',12.8,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431836,COc1ccc(Cl)cc1S(=O)(=O)c1nn(CC(=O)O)c2ccc(C(=O)Nc3ccccc3)cc12,Permeability,'=',0.0,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431845,COc1ccc(Cl)cc1S(=O)(=O)N1CC(C(=O)O)Cc2ccc(C(=O)Nc3ccccc3)cc21,Permeability,'=',18.3,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431847,O=C(O)c1cccc(-c2nc([C@H]3CCCCN3C(=O)COc3ccccc3)cs2)c1,Permeability,'=',23.5,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431859,NC(=O)c1ccc(-c2csc([C@H]3CCCCN3C(=O)COc3ccccc3)n2)cc1,Permeability,'=',54.8,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431883,COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2c(Cl)cc(C(=O)Nc3ccc(CC(=O)O)cc3)cc21,Permeability,'=',32.3,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431515,NC(=O)c1ccc(-c2noc([C@H]3CCCCN3C(=O)COc3ccccc3)n2)cc1,Permeability,'=',50.81,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431517,O=C(O)c1cccc(-c2noc([C@H]3CCCCN3C(=O)COc3ccccc3)n2)c1,Permeability,'=',19.2,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431542,O=C(COc1ccccc1)N1CCCC[C@@H]1c1nc(-c2ccc3[nH]cnc3c2)no1,Permeability,'=',28.0,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431546,O=C(Nc1ccc(C(=O)O)c(F)c1)c1ccc2c(c1)N(S(=O)(=O)c1cccc(C(F)(F)F)c1)CC2,Permeability,'=',19.9,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431555,COc1ccc(Cl)cc1S(=O)(=O)Nc1cc(C(=O)Nc2ccc(C(=O)O)cc2)cn(C)c1=O,Permeability,'=',2.7,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431556,O=C(COc1ccccc1)N1CCNC[C@@H]1c1nc(-c2ccc3[nH]cnc3c2)no1,Permeability,'=',15.3,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431566,NC(=O)c1cncc(-c2noc([C@H]3CCCCN3C(=O)COc3ccccc3)n2)c1,Permeability,'=',38.3,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431571,N#Cc1cccc(-c2n[nH]c([C@H]3CCCCN3C(=O)COc3ccccc3)n2)c1,Permeability,'=',29.6,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431576,COc1ccc(Cl)cc1S(=O)(=O)N1CCNc2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc21,Permeability,'=',8.1,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431577,COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2ccc(C(=O)Nc3ccc(C(=O)O)nc3)cc21,Permeability,'=',5.7,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431579,CC(C)C(=O)Nc1cccc(-c2n[nH]c([C@H]3CCCCN3C(=O)COc3ccccc3)n2)c1,Permeability,'=',26.0,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431585,COc1ccc(Cl)cc1S(=O)(=O)N1COc2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc21,Permeability,'=',29.3,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431614,NC(=O)c1cncc(-c2noc([C@H]3COCCN3C(=O)COc3ccccc3)n2)c1,Permeability,'=',28.6,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431617,CCN(CC)C(=O)c1cncc(-c2noc([C@H]3CCCCN3C(=O)COc3ccccc3)n2)c1,Permeability,'=',54.4,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431902,NC(=O)COc1cccc(-c2noc([C@H]3CCCCN3C(=O)COc3ccccc3)n2)c1,Permeability,'=',24.9,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431903,COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2c(F)cc(C(=O)Nc3ccc(C(=O)O)cc3)cc21,Permeability,'=',24.4,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431507,COc1ccc(Cl)cc1CN1C(=O)OC(C)(C)c2ccc(C(=O)Nc3nc(CC(=O)O)cs3)cc21,Permeability,'=',19.3,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL3431634,COc1ccc(Cl)cc1S(=O)(=O)c1c[nH]c2ccc(C(=O)Nc3ccc(CC(=O)O)cc3)cc12,Permeability,'=',0.0,nm s-1,CHEMBL3431937,SUPPLEMENTARY: PAMPA permeability assay,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3431459,Deposited Supplementary Bioactivity Data,,
CHEMBL192704,O=C1O[C@]2(CN3CCC2CC3)CN1c1ccc(Cl)s1,Permeability,'=',59.0,,CHEMBL838442,Brain permeability is determined by ratio of concentration of compound in brain to that of in plasma (CB/CP) 2 hrs after oral dosing of 10.0 mg/kg (N=3),A,BAO_0000218,organism-based format,CHEMBL1143582,Scientific Literature,J Med Chem,2005.0
CHEMBL262514,CCCc1nc(Cl)ncc1C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,Permeability,'=',3.1e-06,cm s-1,CHEMBL633578,Compound was tested for permeability in Caco-2 cells by HPLC method,A,BAO_0000218,organism-based format,CHEMBL1133475,Scientific Literature,J Med Chem,2000.0
CHEMBL107552,CC(=O)OCOC(=O)N(CC(O)COc1nsnc1N1CCOCC1)C(C)(C)C,Permeability,'=',39.3,nM hr-1 cm**-2,CHEMBL633584,Permeability through isolated albino rabbit cornea,A,BAO_0000218,organism-based format,CHEMBL1124025,Scientific Literature,J Med Chem,1988.0
CHEMBL118147,CCC(c1cccnc1)n1[nH]c(=O)c2nc3cc(Cl)ccc3c(O)c2c1=O.CS(=O)(=O)O,Permeability,'=',5e-06,,CHEMBL655618,Cellular permeability in Caco-2 cells.,F,BAO_0000219,cell-based format,CHEMBL1136832,Scientific Literature,Bioorg Med Chem Lett,2003.0
