,Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Document ChEMBL ID,Source Description,Document Journal,Document Year
0,CHEMBL1294,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,IC50,'=',20.0,nM,CHEMBL860948,Inhibition of human CYP2D6,A,BAO_0000357,single protein format,CHEMBL1146077,Scientific Literature,J Med Chem,2006.0
1,CHEMBL495118,CNc1noc2c(-c3ccc4c(N5CCOC[C@@H]5C)nncc4c3)c(Cl)ccc12,IC50,'=',6000.0,nM,CHEMBL1035787,Inhibition of CYP3A4 in human liver microsomes,A,BAO_0000251,microsome format,CHEMBL1140162,Scientific Literature,J Med Chem,2008.0
2,CHEMBL206202,CC[C@@](C)(Cc1ccc(OCCCOc2ccc(CC(F)(F)F)cc2Cl)cc1)C(=O)O,IC50,'<',50.0,nM,CHEMBL868415,Inhibition of CYP2C9,A,BAO_0000357,single protein format,CHEMBL1139027,Scientific Literature,Bioorg Med Chem Lett,2006.0
3,CHEMBL255590,NCc1ccc2c(c1)C1(CCN(C(=O)c3ccc(C#Cc4ccccc4)o3)CC1)CO2,IC50,'>',20000.0,nM,CHEMBL949331,Inhibition of human CYP1A2,A,BAO_0000357,single protein format,CHEMBL1143198,Scientific Literature,Bioorg Med Chem Lett,2008.0
4,CHEMBL403313,CN(C)S(=O)(=O)NC(=O)CCCc1c(-c2ccc(F)cc2)[nH]c2ccc(C#N)cc12,IC50,'>',5000.0,nM,CHEMBL928894,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1141538,Scientific Literature,Bioorg Med Chem Lett,2008.0
5,CHEMBL401895,Cc1cc(C)n(-c2cc(NC(=O)COc3cccc(CN(C)C)c3)nc(-c3ccc(C)o3)n2)n1,IC50,'>',6000.0,nM,CHEMBL928990,Inhibition of CYP3A4,A,BAO_0000357,single protein format,CHEMBL1141544,Scientific Literature,Bioorg Med Chem Lett,2008.0
6,CHEMBL206145,Cc1cc2c(F)c(Oc3ncnn4cc(OCCC5CCN(C)CC5)c(C)c34)ccc2[nH]1,IC50,'=',700.0,nM,CHEMBL859789,Inhibitory activity against CYP3A4,A,BAO_0000357,single protein format,CHEMBL1146078,Scientific Literature,J Med Chem,2006.0
7,CHEMBL271876,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1[C@H](CC#N)COc1ccccn1,IC50,'>',100000.0,nM,CHEMBL934047,Inhibition of CYP2C9,A,BAO_0000357,single protein format,CHEMBL1141598,Scientific Literature,Bioorg Med Chem Lett,2008.0
8,CHEMBL271876,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1[C@H](CC#N)COc1ccccn1,IC50,'=',33000.0,nM,CHEMBL934048,Inhibition of CYP2C19,A,BAO_0000357,single protein format,CHEMBL1141598,Scientific Literature,Bioorg Med Chem Lett,2008.0
9,CHEMBL253363,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,IC50,'>',200000.0,nM,CHEMBL934981,Inhibition of human CYP51 expressed in Topp 3 cells by lanosterol demethylase assay,B,BAO_0000219,cell-based format,CHEMBL1143822,Scientific Literature,Drug Metab Dispos,2007.0
11,CHEMBL408443,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](N)CC(C)C)c(C)c34)ccc2[nH]1,IC50,'=',24000.0,nM,CHEMBL935253,Inhibition of human CYP2D6,A,BAO_0000357,single protein format,CHEMBL1141628,Scientific Literature,J Med Chem,2008.0
12,CHEMBL377500,O=C(Nc1nccs1)N1CCC(Cc2c[nH]cn2)CC1,IC50,'=',2000.0,nM,CHEMBL866475,Inhibition of CYP2D6 by human liver microsome assay,A,BAO_0000221,tissue-based format,CHEMBL1138111,Scientific Literature,Bioorg Med Chem Lett,2006.0
13,CHEMBL377278,O=C(CCOc1ccc(C(=O)N2CCNCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,IC50,'=',30000.0,nM,CHEMBL866475,Inhibition of CYP2D6 by human liver microsome assay,A,BAO_0000221,tissue-based format,CHEMBL1138111,Scientific Literature,Bioorg Med Chem Lett,2006.0
14,CHEMBL381070,O=C(CCc1ccc(CN2CCCCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,IC50,'=',3000.0,nM,CHEMBL866475,Inhibition of CYP2D6 by human liver microsome assay,A,BAO_0000221,tissue-based format,CHEMBL1138111,Scientific Literature,Bioorg Med Chem Lett,2006.0
15,CHEMBL203912,O=C(CCOc1ccc(CN2CCCCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1,IC50,'=',1000.0,nM,CHEMBL866475,Inhibition of CYP2D6 by human liver microsome assay,A,BAO_0000221,tissue-based format,CHEMBL1138111,Scientific Literature,Bioorg Med Chem Lett,2006.0
16,CHEMBL204640,c1cnc(-c2ccc(OCCCN3CCC(Cc4c[nH]cn4)CC3)cc2)nc1,IC50,'=',6000.0,nM,CHEMBL866475,Inhibition of CYP2D6 by human liver microsome assay,A,BAO_0000221,tissue-based format,CHEMBL1138111,Scientific Literature,Bioorg Med Chem Lett,2006.0
17,CHEMBL381741,c1nc(CC2CCN(CCCOc3ccc(CN4CCC(N5CCCCC5)CC4)cc3)CC2)c[nH]1,IC50,'>',30000.0,nM,CHEMBL866475,Inhibition of CYP2D6 by human liver microsome assay,A,BAO_0000221,tissue-based format,CHEMBL1138111,Scientific Literature,Bioorg Med Chem Lett,2006.0
20,CHEMBL381717,CN(C)CCCOc1ccc(CN2CCCCC2)cc1,IC50,'>',30000.0,nM,CHEMBL866475,Inhibition of CYP2D6 by human liver microsome assay,A,BAO_0000221,tissue-based format,CHEMBL1138111,Scientific Literature,Bioorg Med Chem Lett,2006.0
21,CHEMBL552196,Cc1c(O)noc1C1CCN(C(=O)NC2CC2c2ccccc2)CC1,IC50,'>',10000.0,nM,CHEMBL1051707,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1152451,Scientific Literature,J Med Chem,2009.0
22,CHEMBL561259,O=C(NC1CC1c1ccccc1)N1CCC(c2ncon2)CC1,IC50,'>',10000.0,nM,CHEMBL1051708,Inhibition of CYP3A4,A,BAO_0000357,single protein format,CHEMBL1152451,Scientific Literature,J Med Chem,2009.0
23,CHEMBL564547,Cc1noc(C2CCN(C(=O)NC3CC3c3ccccc3)CC2)n1,IC50,'>',10000.0,nM,CHEMBL1051707,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1152451,Scientific Literature,J Med Chem,2009.0
24,CHEMBL250689,CC(=O)c1cccc(NC(=O)N[C@@H]2CCCC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)c1,IC50,'=',60.0,nM,CHEMBL947059,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1142350,Scientific Literature,Bioorg Med Chem Lett,2008.0
25,CHEMBL552382,O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ccccn3)no2)CC1,IC50,'>',10000.0,nM,CHEMBL1051706,Inhibition of CYP2C9,A,BAO_0000357,single protein format,CHEMBL1152451,Scientific Literature,J Med Chem,2009.0
26,CHEMBL246161,O=[N+]([O-])c1cnc(NCc2ccccc2Cl)nc1NCC1CCNCC1,IC50,'=',17600.0,nM,CHEMBL902306,Inhibition of CYP2C9,A,BAO_0000357,single protein format,CHEMBL1138386,Scientific Literature,Bioorg Med Chem Lett,2007.0
27,CHEMBL398584,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,IC50,'=',860.0,nM,CHEMBL898579,Inhibition of CYP3A4,A,BAO_0000357,single protein format,CHEMBL1149625,Scientific Literature,Bioorg Med Chem,2007.0
28,CHEMBL239497,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(CC)(c1cc(F)cc(F)c1)O2,IC50,'=',460.0,nM,CHEMBL898579,Inhibition of CYP3A4,A,BAO_0000357,single protein format,CHEMBL1149625,Scientific Literature,Bioorg Med Chem,2007.0
29,CHEMBL240813,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNS(C)(=O)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,IC50,'=',15100.0,nM,CHEMBL898580,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1149625,Scientific Literature,Bioorg Med Chem,2007.0
30,CHEMBL398584,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,IC50,'=',30000.0,nM,CHEMBL898580,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1149625,Scientific Literature,Bioorg Med Chem,2007.0
31,CHEMBL398387,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C1(CC1)O2,IC50,'>',30000.0,nM,CHEMBL898580,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1149625,Scientific Literature,Bioorg Med Chem,2007.0
32,CHEMBL240355,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(C)O2,IC50,'>',30000.0,nM,CHEMBL898580,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1149625,Scientific Literature,Bioorg Med Chem,2007.0
33,CHEMBL393363,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cccc(C(F)(F)F)c1)O2,IC50,'>',22000.0,nM,CHEMBL898581,Inhibition of CYP2C9,A,BAO_0000357,single protein format,CHEMBL1149625,Scientific Literature,Bioorg Med Chem,2007.0
34,CHEMBL239497,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(CC)(c1cc(F)cc(F)c1)O2,IC50,'=',4900.0,nM,CHEMBL898581,Inhibition of CYP2C9,A,BAO_0000357,single protein format,CHEMBL1149625,Scientific Literature,Bioorg Med Chem,2007.0
35,CHEMBL551921,O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ccc4ccccc4n3)no2)CC1,IC50,'>',10000.0,nM,CHEMBL1051706,Inhibition of CYP2C9,A,BAO_0000357,single protein format,CHEMBL1152451,Scientific Literature,J Med Chem,2009.0
36,CHEMBL550242,O=C(NC1CCc2ccccc2C1)N1CCC(c2nc(-c3ccccn3)no2)CC1,IC50,'<',10000.0,nM,CHEMBL1051707,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1152451,Scientific Literature,J Med Chem,2009.0
37,CHEMBL1230122,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,IC50,'>',40000.0,nM,CHEMBL1769481,Inhibition of human CYP2D6,A,BAO_0000357,single protein format,CHEMBL1764984,Scientific Literature,J Med Chem,2011.0
38,CHEMBL454770,CNC[C@]1(O)Cc2ccccc2[C@@H]1Oc1ccc(O)cc1C,IC50,'>',10000.0,nM,CHEMBL963842,Inhibition of CYP2D6,A,BAO_0000357,single protein format,CHEMBL1152169,Scientific Literature,Bioorg Med Chem Lett,2008.0
39,CHEMBL428780,c1ccc(-c2ccc(Cn3ccnc3)cn2)cc1,IC50,'=',152.0,nM,CHEMBL1656352,Inhibition of human CYP11B1 expressed in hamster V79MZ cells using 11-deoxycorticosterone substrate,B,BAO_0000219,cell-based format,CHEMBL1649094,Scientific Literature,ACS Med Chem Lett,2011.0
40,CHEMBL1651498,c1ccc(-c2cc(Cn3ccnc3)cc(-c3ccccc3)c2)cc1,IC50,'=',332.0,nM,CHEMBL1656353,Inhibition of human CYP11B2 expressed in hamster V79MZ cells using 11-deoxycorticosterone substrate,B,BAO_0000219,cell-based format,CHEMBL1649094,Scientific Literature,ACS Med Chem Lett,2011.0
