smiles,AZ_LogD7.4,SLogD
Brc1cc(Br)cc(COC[C@H](c2ccccc2)N2CCNCC2)c1,2.8,2.40434
Brc1cnc(NCc2ccccc2)nc1Nc1cc(C2CC2)[nH]n1,4.11,3.71898
C#CC(C)(C)NC(=O)c1sccc1Oc1ccc(F)cc1[N+](=O)[O-],3,3.6802
C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.59,3.72259
C#CCN(C)C(C)Cc1ccccc1,2.16,1.93556
C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,2.8,2.99589
C#CCN(c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,3.2,2.89297
C#CC[C@@H](C(=O)N[C@@H](/C=C/C(=O)OCC)C[C@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.75,1.53235
C#CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.96,3.71308
C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.16,3.44678
C#CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.4,3.1124
C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cncnc23)c1,0.92,0.419509
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.35,3.12954
C(#Cc1n[nH]c2ccccc12)c1ccccc1,4.31,3.9653
C(=C/c1c(-c2ccccc2)nc2sccn12)\c1ccncn1,3.4,3.05151
C(=C/c1nn[nH]n1)\c1ccccc1,-0.4,-0.42577
C/N=C(/S)n1nc(-c2ccc(Cl)cc2)nc1N,4.12,1.97307
C1=C(c2cc3ccccc3o2)C2CCN1CC2,2.59,3.96342
C1=CCC(c2cc3ccccc3o2)CNC1,1.94,1.74859
C1=CCC(c2ccc3ccccc3c2)CNC1,1.64,2.03684
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,3.02,4.00892
C1CCC(NC2CCCCC2)CC1,-0.38,0.578486
