,Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Document ChEMBL ID,Source Description,Document Journal,Document Year
0,CHEMBL1223528,Cc1cc2n[nH]c(=O)n2c2cc(-c3cn[nH]c3)ccc12,PPB,'=',1.3,%,CHEMBL1228392,Protein binding in plasma,A,BAO_0000366,cell-free format,CHEMBL1221270,Scientific Literature,Bioorg Med Chem Lett,2010.0
1,CHEMBL374975,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,PPB,'=',97.0,%,CHEMBL1661509,Protein binding in serum,A,BAO_0000366,cell-free format,CHEMBL1649135,Scientific Literature,Antimicrob Agents Chemother,2009.0
2,CHEMBL2235849,CC(C)Cc1ccc(C(C)C(=O)OCc2ccccc2)cc1,PPB,'=',37.0,%,CHEMBL3048171,Protein binding in plasma at 20 ug/ml,A,BAO_0000366,cell-free format,CHEMBL3046468,Scientific Literature,Med Chem Res,2012.0
3,CHEMBL2235855,COC(=O)C(Cc1ccccc1)NC(=O)C(C)c1ccc(CC(C)C)cc1,PPB,'=',47.0,%,CHEMBL3048171,Protein binding in plasma at 20 ug/ml,A,BAO_0000366,cell-free format,CHEMBL3046468,Scientific Literature,Med Chem Res,2012.0
4,CHEMBL378093,Nc1noc2ccc(-n3nc(C(F)(F)F)c4c3C(=O)N(c3ccc(-c5ccccc5CN5CC[C@@H](O)C5)cc3)CC4)cc12,PPB,'=',97.0,%,CHEMBL900675,Protein binding in human serum by equilibrium dialysis,A,BAO_0000366,cell-free format,CHEMBL1137566,Scientific Literature,J Med Chem,2007.0
5,CHEMBL216769,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,PPB,'=',94.0,%,CHEMBL856407,protein binding,A,BAO_0000019,assay format,CHEMBL1147984,Scientific Literature,J Med Chem,2007.0
6,CHEMBL61577,COc1ccc(-c2ccc(S(=O)(=O)NC(C(=O)O)C3CCCC(N(Cc4ccccc4)C(C)=O)C3)cc2)cc1,PPB,'=',99.4,%,CHEMBL768724,Percentage binding to plasma protein.,A,BAO_0000366,cell-free format,CHEMBL1133883,Scientific Literature,Bioorg Med Chem Lett,2001.0
7,CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,PPB,'=',25.0,%,CHEMBL1661509,Protein binding in serum,A,BAO_0000366,cell-free format,CHEMBL1649135,Scientific Literature,Antimicrob Agents Chemother,2009.0
8,CHEMBL3104375,FC(F)(F)c1ccc(N(c2cccnc2)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,PPB,'=',99.8,%,CHEMBL3137528,DNDI: Protein binding in human liver microsomes,A,BAO_0000251,microsome format,CHEMBL3137440,Drugs for Neglected Diseases Initiative (DNDi),,
9,CHEMBL3236707,CN(c1ccc(Cl)cc1)S(=O)(=O)c1cccc(C(=O)Nc2ccc(Cl)nn2)c1,PPB,'=',99.8,%,CHEMBL3240403,Protein binding in plasma (unknown origin) at 5 uM after 4 hrs,A,BAO_0000366,cell-free format,CHEMBL3232865,Scientific Literature,Eur J Med Chem,2014.0
