StdInChIKey,Smiles,LogS,T,Source,REF1,REF2,REF3,REF4,REF5
AAEVYOVXGOFMJO-UHFFFAOYSA-N,S(C)c1nc(NC(C)C)nc(NC(C)C)n1,-4.1,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
ABICJYZKIYUWEE-UHFFFAOYSA-N,O=[N+]([O-])C1C(=O)NC(=O)NC1=O,-2.28,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
ADIMAYPTOBDMTL-UHFFFAOYSA-N,Clc1cc2C(=NC(O)C(=O)Nc2cc1)c1ccccc1,-3.95,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AEXMKKGTQYQZCS-UHFFFAOYSA-N,C(CC)(CC)(C)C,-4.23,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AFFLGGQVNFXPEV-UHFFFAOYSA-N,C(=C)CCCCCCCC,-5.51,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AFOGBLYPWJJVAL-UHFFFAOYSA-N,S(=O)(=O)(NC(=O)NCCCC)c1ccccc1,-3.05,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,O=[N+]([O-])c1cc(C(=O)O)ccc1,-1.71997,NA,ONSchallenge,http://dx.doi.org/10.1016/j.molliq.2004.06.001,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,
AFYCEAFSNDLKSX-UHFFFAOYSA-N,O=c1oc2c(c(C)c1)ccc(N(CC)CC)c2,-4.001,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AGAHNABIDCTLHW-UHFFFAOYSA-N,Fc1ccc(C(=O)CCCN2CCC(O)(c3ccc(C)cc3)CC2)cc1,-4.347,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AGMMTXLNIQSRCG-UHFFFAOYSA-N,Clc1c(S(=O)(=O)N)cc2C(=O)NC(CC)Nc2c1,-3.29,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AHJKRLASYNVKDZ-UHFFFAOYSA-N,ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-7.199998,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
AIKKULXCBHRFOS-UHFFFAOYSA-N,S=P(SCC(=O)N(C=O)C)(OC)OC,-2,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AIVXUNRQBRKFJO-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2C(=O)CCSc2c1,-3.494,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AKUJBENLRBOFTD-UHFFFAOYSA-N,FC12C3(C)C(=CC(=O)C=C3)CCC1C1C(C)(C(O)(C(=O)COC(=O)C)C(C)C1)CC2O,-4.9,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AMEKQAFGQBKLKX-UHFFFAOYSA-N,O=C(Nc1ccccc1)C1=C(OCCS1(=O)=O)C,-2.43,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AMMPGYPPRLWMLW-UHFFFAOYSA-N,O=[N+]([O-])c1cc(N)c(OCC)cc1,-3.211,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AMQJEAYHLZJPGS-UHFFFAOYSA-N,OCCCCC,-0.6,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AMRQXHFXNZFDCH-UHFFFAOYSA-N,O=C(OC(C(=O)NCC)C)Nc1ccccc1,-1.83,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
ANJTVLIZGCUXLD-UHFFFAOYSA-N,O=c1n2c(ccc1)C1CNCC(C2)C1,0.36,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
APSMUYYLXZULMS-UHFFFAOYSA-N,Brc1cc2c(cc1)cccc2,-4.4,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
APTGDJCKNMNFID-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)(=O)CC(O)Cc2c1,-1.539,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AQCHWTWZEMGIFD-UHFFFAOYSA-N,Clc1c(S(=O)(=O)N)cc2C(=O)N(c3c(C)cccc3)C(C)Nc2c1,-3.78,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AQIXAKUUQRKLND-UHFFFAOYSA-N,S(CCN/C(=N/C)/NC#N)Cc1c(C)[nH]cn1,-1.40229,NA,ONSchallenge,NA,,,,
AQIXEPGDORPWBJ-UHFFFAOYSA-N,OC(CC)CC,-0.24,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
ARCGXLSVLAOJQL-UHFFFAOYSA-N,O=C(O)c1c(C(=O)O)ccc(C(=O)O)c1,-0.397,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
ARGDYOIRHYLIMT-UHFFFAOYSA-N,ClN(Cl)S(=O)(=O)c1ccc(C)cc1,-3.509,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
ARSRBNBHOADGJU-UHFFFAOYSA-N,Cc1c2c(c(C)c3c1cccc3)ccc1c2cccc1,-7.020001,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
ATROHALUCMTWTB-UHFFFAOYSA-N,S=P(ON=C(C#N)c1ccccc1)(OCC)OCC,-4.86,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AUKRYONWZHRJRE-UHFFFAOYSA-N,Oc1c2c(cc3c1cccc3)cccc2,-4.73,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AUNGANRZJHBGPY-UHFFFAOYSA-N,O=c1nc2n(CC(O)C(O)C(O)CO)c3c(nc2c(=O)[nH]1)cc(C)c(C)c3,-3.68,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
AUZONCFQVSMFAP-UHFFFAOYSA-N,S(SC(=S)N(CC)CC)C(=S)N(CC)CC,-4.71725,NA,ONSchallenge,http://www.springerlink.com/content/um5p375020237780/,http://dx.doi.org/10.1021/ci800406y,,,
AVQQQNCBBIEMEU-UHFFFAOYSA-N,O=C(N(C)C)N(C)C,0.94,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
